7 : 7, data missing, NULL
7 : 6 1, 1, 0
7 : 5 2, 1, 0
7 : 5 1 1, 1, 0
7 : 4 3, 1, 0
7 : 4 2 1, 1, 0
7 : 4 1 1 1, 1, 0
7 : 3 3 1, 1, 0
7 : 3 2 2, 1, 0
7 : 3 2 1 1, 1, 0
7 : 3 1 1 1 1, 1, 0
7 : 2 2 2 1, 1, 0
7 : 2 2 1 1 1, 1, 0
7 : 2 1 1 1 1 1, 1, 0
7 : 1 1 1 1 1 1 1, 1, 0
6 1 : 6 1, 1, 0
6 1 : 5 2, 1, 0
6 1 : 5 1 1, x + 1, 1
6 1 : 4 3, 1, 0
6 1 : 4 2 1, x + 1, 1
6 1 : 4 1 1 1, x**2/2 + 3*x/2 + 1, 2
6 1 : 3 3 1, x + 1, 1
6 1 : 3 2 2, x + 1, 1
6 1 : 3 2 1 1, x**2/2 + 3*x/2 + 1, 2
6 1 : 3 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
6 1 : 2 2 2 1, x**2/2 + 3*x/2 + 1, 2
6 1 : 2 2 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
6 1 : 2 1 1 1 1 1, x**4/24 + 5*x**3/12 + 35*x**2/24 + 25*x/12 + 1, 4
6 1 : 1 1 1 1 1 1 1, x**5/120 + x**4/8 + 17*x**3/24 + 15*x**2/8 + 137*x/60 + 1, 5
5 2 : 5 2, 1, 0
5 2 : 5 1 1, 1, 0
5 2 : 4 3, 1, 0
5 2 : 4 2 1, x + 1, 1
5 2 : 4 1 1 1, x**2/2 + 3*x/2 + 1, 2
5 2 : 3 3 1, x + 1, 1
5 2 : 3 2 2, 2*x + 1, 1
5 2 : 3 2 1 1, x**2 + 2*x + 1, 2
5 2 : 3 1 1 1 1, 2*x**3/3 + 2*x**2 + 7*x/3 + 1, 3
5 2 : 2 2 2 1, 3*x**2/2 + 5*x/2 + 1, 2
5 2 : 2 2 1 1 1, 5*x**3/6 + 5*x**2/2 + 8*x/3 + 1, 3
5 2 : 2 1 1 1 1 1, 11*x**4/24 + 25*x**3/12 + 85*x**2/24 + 35*x/12 + 1, 4
5 2 : 1 1 1 1 1 1 1, 5*x**5/24 + 17*x**4/12 + 29*x**3/8 + 55*x**2/12 + 19*x/6 + 1, 5
5 1 1 : 5 1 1, 1, 0
5 1 1 : 4 3, 1, 0
5 1 1 : 4 2 1, 1, 0
5 1 1 : 4 1 1 1, x**2/2 + 3*x/2 + 1, 2
5 1 1 : 3 3 1, 1, 0
5 1 1 : 3 2 2, 1, 0
5 1 1 : 3 2 1 1, x**2/2 + 3*x/2 + 1, 2
5 1 1 : 3 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
5 1 1 : 2 2 2 1, x**2/2 + 3*x/2 + 1, 2
5 1 1 : 2 2 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
5 1 1 : 2 1 1 1 1 1, x**6/144 + 5*x**5/48 + 91*x**4/144 + 95*x**3/48 + 121*x**2/36 + 35*x/12 + 1, 6
5 1 1 : 1 1 1 1 1 1 1, x**8/2880 + x**7/120 + 41*x**6/480 + 39*x**5/80 + 541*x**4/320 + 291*x**3/80 + 3401*x**2/720 + 101*x/30 + 1, 8
4 3 : 4 3, 1, 0
4 3 : 4 2 1, 1, 0
4 3 : 4 1 1 1, 1, 0
4 3 : 3 3 1, x + 1, 1
4 3 : 3 2 2, x + 1, 1
4 3 : 3 2 1 1, x**2/2 + 3*x/2 + 1, 2
4 3 : 3 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
4 3 : 2 2 2 1, x**2 + 2*x + 1, 2
4 3 : 2 2 1 1 1, 2*x**3/3 + 2*x**2 + 7*x/3 + 1, 3
4 3 : 2 1 1 1 1 1, 5*x**4/12 + 11*x**3/6 + 37*x**2/12 + 8*x/3 + 1, 4
4 3 : 1 1 1 1 1 1 1, x**5/3 + 5*x**4/3 + 11*x**3/3 + 13*x**2/3 + 3*x + 1, 5
4 2 1 : 4 2 1, 1, 0
4 2 1 : 4 1 1 1, x + 1, 1
4 2 1 : 3 3 1, 1, 0
4 2 1 : 3 2 2, x + 1, 1
4 2 1 : 3 2 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
4 2 1 : 3 1 1 1 1, x**5/20 + 5*x**4/12 + 17*x**3/12 + 31*x**2/12 + 38*x/15 + 1, 5
4 2 1 : 2 2 2 1, x**3/2 + 2*x**2 + 5*x/2 + 1, 3
4 2 1 : 2 2 1 1 1, 13*x**5/120 + 19*x**4/24 + 19*x**3/8 + 89*x**2/24 + 181*x/60 + 1, 5
4 2 1 : 2 1 1 1 1 1, 23*x**7/1008 + x**6/4 + 85*x**5/72 + 19*x**4/6 + 761*x**3/144 + 67*x**2/12 + 295*x/84 + 1, 7
4 2 1 : 1 1 1 1 1 1 1, 11*x**9/3456 + 61*x**8/1152 + 73*x**7/192 + 901*x**6/576 + 4753*x**5/1152 + 8477*x**4/1152 + 1951*x**3/216 + 2167*x**2/288 + 95*x/24 + 1, 9
4 1 1 1 : 4 1 1 1, 1, 0
4 1 1 1 : 3 3 1, 0, -1
4 1 1 1 : 3 2 2, 1, 0
4 1 1 1 : 3 2 1 1, 1, 0
4 1 1 1 : 3 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
4 1 1 1 : 2 2 2 1, 1, 0
4 1 1 1 : 2 2 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
4 1 1 1 : 2 1 1 1 1 1, x**6/144 + 5*x**5/48 + 91*x**4/144 + 95*x**3/48 + 121*x**2/36 + 35*x/12 + 1, 6
4 1 1 1 : 1 1 1 1 1 1 1, x**9/8640 + x**8/320 + 53*x**7/1440 + 119*x**6/480 + 1009*x**5/960 + 929*x**4/320 + 5629*x**3/1080 + 1403*x**2/240 + 37*x/10 + 1, 9
3 3 1 : 3 3 1, 1, 0
3 3 1 : 3 2 2, 1, 0
3 3 1 : 3 2 1 1, x + 1, 1
3 3 1 : 3 1 1 1 1, x**2/2 + 3*x/2 + 1, 2
3 3 1 : 2 2 2 1, x**2/2 + 3*x/2 + 1, 2
3 3 1 : 2 2 1 1 1, x**4/8 + 3*x**3/4 + 15*x**2/8 + 9*x/4 + 1, 4
3 3 1 : 2 1 1 1 1 1, x**6/48 + 11*x**5/48 + 49*x**4/48 + 39*x**3/16 + 83*x**2/24 + 17*x/6 + 1, 6
3 3 1 : 1 1 1 1 1 1 1, 31*x**8/5760 + 37*x**7/480 + 151*x**6/320 + 79*x**5/48 + 7013*x**4/1920 + 2593*x**3/480 + 7733*x**2/1440 + 27*x/8 + 1, 8
3 2 2 : 3 2 2, 1, 0
3 2 2 : 3 2 1 1, 1, 0
3 2 2 : 3 1 1 1 1, x + 1, 1
3 2 2 : 2 2 2 1, x**2/2 + 3*x/2 + 1, 2
3 2 2 : 2 2 1 1 1, x**4/24 + 5*x**3/12 + 35*x**2/24 + 25*x/12 + 1, 4
3 2 2 : 2 1 1 1 1 1, x**6/72 + x**5/6 + 29*x**4/36 + 25*x**3/12 + 229*x**2/72 + 11*x/4 + 1, 6
3 2 2 : 1 1 1 1 1 1 1, x**8/128 + 3*x**7/32 + 33*x**6/64 + 27*x**5/16 + 465*x**4/128 + 171*x**3/32 + 171*x**2/32 + 27*x/8 + 1, 8
3 2 1 1 : 3 2 1 1, 1, 0
3 2 1 1 : 3 1 1 1 1, x**2/2 + 3*x/2 + 1, 2
3 2 1 1 : 2 2 2 1, x + 1, 1
3 2 1 1 : 2 2 1 1 1, x**5/120 + x**4/8 + 17*x**3/24 + 15*x**2/8 + 137*x/60 + 1, 5
3 2 1 1 : 2 1 1 1 1 1, 5*x**8/4032 + x**7/48 + 5*x**6/32 + 11*x**5/16 + 373*x**4/192 + 29*x**3/8 + 4435*x**2/1008 + 19*x/6 + 1, 8
3 2 1 1 : 1 1 1 1 1 1 1, 131*x**11/1140480 + 11*x**10/4320 + 535*x**9/20736 + 61*x**8/384 + 22961*x**7/34560 + 5737*x**6/2880 + 91033*x**5/20736 + 24725*x**4/3456 + 221149*x**3/25920 + 10357*x**2/1440 + 3079*x/792 + 1, 11
3 1 1 1 1 : 3 1 1 1 1, 1, 0
3 1 1 1 1 : 2 2 2 1, 0, -1
3 1 1 1 1 : 2 2 1 1 1, 1, 0
3 1 1 1 1 : 2 1 1 1 1 1, x**4/24 + 5*x**3/12 + 35*x**2/24 + 25*x/12 + 1, 4
3 1 1 1 1 : 1 1 1 1 1 1 1, x**8/2880 + x**7/120 + 41*x**6/480 + 39*x**5/80 + 541*x**4/320 + 291*x**3/80 + 3401*x**2/720 + 101*x/30 + 1, 8
2 2 2 1 : 2 2 2 1, 1, 0
2 2 2 1 : 2 2 1 1 1, x + 1, 1
2 2 2 1 : 2 1 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
2 2 2 1 : 1 1 1 1 1 1 1, x**9/3240 + x**8/180 + 5*x**7/108 + 7*x**6/30 + 853*x**5/1080 + 113*x**4/60 + 1043*x**3/324 + 349*x**2/90 + 53*x/18 + 1, 9
2 2 1 1 1 : 2 2 1 1 1, 1, 0
2 2 1 1 1 : 2 1 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
2 2 1 1 1 : 1 1 1 1 1 1 1, x**10/51840 + 5*x**9/10368 + 49*x**8/8640 + 71*x**7/1728 + 3499*x**6/17280 + 2447*x**5/3456 + 11557*x**4/6480 + 8353*x**3/2592 + 481*x**2/120 + 109*x/36 + 1, 10
2 1 1 1 1 1 : 2 1 1 1 1 1, 1, 0
2 1 1 1 1 1 : 1 1 1 1 1 1 1, x**5/120 + x**4/8 + 17*x**3/24 + 15*x**2/8 + 137*x/60 + 1, 5
1 1 1 1 1 1 1 : 1 1 1 1 1 1 1, 1, 0
