6 : 6, data missing, NULL
6 : 5 1, 1, 0
6 : 4 2, 1, 0
6 : 4 1 1, 1, 0
6 : 3 3, 1, 0
6 : 3 2 1, 1, 0
6 : 3 1 1 1, 1, 0
6 : 2 2 2, 1, 0
6 : 2 2 1 1, 1, 0
6 : 2 1 1 1 1, 1, 0
6 : 1 1 1 1 1 1, 1, 0
5 1 : 5 1, 1, 0
5 1 : 4 2, 1, 0
5 1 : 4 1 1, x + 1, 1
5 1 : 3 3, 1, 0
5 1 : 3 2 1, x + 1, 1
5 1 : 3 1 1 1, x**2/2 + 3*x/2 + 1, 2
5 1 : 2 2 2, x + 1, 1
5 1 : 2 2 1 1, x**2/2 + 3*x/2 + 1, 2
5 1 : 2 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
5 1 : 1 1 1 1 1 1, x**4/24 + 5*x**3/12 + 35*x**2/24 + 25*x/12 + 1, 4
4 2 : 4 2, 1, 0
4 2 : 4 1 1, 1, 0
4 2 : 3 3, 1, 0
4 2 : 3 2 1, x + 1, 1
4 2 : 3 1 1 1, x**2/2 + 3*x/2 + 1, 2
4 2 : 2 2 2, 2*x + 1, 1
4 2 : 2 2 1 1, x**2 + 2*x + 1, 2
4 2 : 2 1 1 1 1, 2*x**3/3 + 2*x**2 + 7*x/3 + 1, 3
4 2 : 1 1 1 1 1 1, 5*x**4/12 + 11*x**3/6 + 37*x**2/12 + 8*x/3 + 1, 4
4 1 1 : 4 1 1, 1, 0
4 1 1 : 3 3, 1, 0
4 1 1 : 3 2 1, 1, 0
4 1 1 : 3 1 1 1, x**2/2 + 3*x/2 + 1, 2
4 1 1 : 2 2 2, 1, 0
4 1 1 : 2 2 1 1, x**2/2 + 3*x/2 + 1, 2
4 1 1 : 2 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
4 1 1 : 1 1 1 1 1 1, x**6/144 + 5*x**5/48 + 91*x**4/144 + 95*x**3/48 + 121*x**2/36 + 35*x/12 + 1, 6
3 3 : 3 3, 1, 0
3 3 : 3 2 1, 1, 0
3 3 : 3 1 1 1, 1, 0
3 3 : 2 2 2, 1, 0
3 3 : 2 2 1 1, x + 1, 1
3 3 : 2 1 1 1 1, x**2/2 + 3*x/2 + 1, 2
3 3 : 1 1 1 1 1 1, x**3/2 + 3*x**2/2 + 2*x + 1, 3
3 2 1 : 3 2 1, 1, 0
3 2 1 : 3 1 1 1, x + 1, 1
3 2 1 : 2 2 2, x + 1, 1
3 2 1 : 2 2 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
3 2 1 : 2 1 1 1 1, x**5/20 + 5*x**4/12 + 17*x**3/12 + 31*x**2/12 + 38*x/15 + 1, 5
3 2 1 : 1 1 1 1 1 1, 17*x**7/1008 + 13*x**6/72 + 61*x**5/72 + 83*x**4/36 + 575*x**3/144 + 325*x**2/72 + 22*x/7 + 1, 7
3 1 1 1 : 3 1 1 1, 1, 0
3 1 1 1 : 2 2 2, 1, 0
3 1 1 1 : 2 2 1 1, 1, 0
3 1 1 1 : 2 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
3 1 1 1 : 1 1 1 1 1 1, x**6/144 + 5*x**5/48 + 91*x**4/144 + 95*x**3/48 + 121*x**2/36 + 35*x/12 + 1, 6
2 2 2 : 2 2 2, 1, 0
2 2 2 : 2 2 1 1, 1, 0
2 2 2 : 2 1 1 1 1, x + 1, 1
2 2 2 : 1 1 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
2 2 1 1 : 2 2 1 1, 1, 0
2 2 1 1 : 2 1 1 1 1, x**2/2 + 3*x/2 + 1, 2
2 2 1 1 : 1 1 1 1 1 1, x**7/504 + x**6/36 + 13*x**5/72 + 25*x**4/36 + 31*x**3/18 + 25*x**2/9 + 109*x/42 + 1, 7
2 1 1 1 1 : 2 1 1 1 1, 1, 0
2 1 1 1 1 : 1 1 1 1 1 1, x**4/24 + 5*x**3/12 + 35*x**2/24 + 25*x/12 + 1, 4
1 1 1 1 1 1 : 1 1 1 1 1 1, 1, 0
