10 : 10, data missing, NULL
8 1 1 : 3 3 2 1 1, data missing, 4
8 1 1 : 3 3 1 1 1 1, data missing, 6
8 1 1 : 3 2 2 2 1, data missing, 4
8 1 1 : 3 2 2 1 1 1, data missing, 6
8 1 1 : 3 2 1 1 1 1 1, data missing, 8
8 1 1 : 3 1 1 1 1 1 1 1, data missing, 10
8 1 1 : 2 2 2 2 2, data missing, 4
8 1 1 : 2 2 2 2 1 1, data missing, 6
8 1 1 : 2 2 2 1 1 1 1, data missing, 8
8 1 1 : 2 2 1 1 1 1 1 1, data missing, 10
8 1 1 : 2 1 1 1 1 1 1 1 1, data missing, 12
7 3 : 7 3, data missing, 0
7 3 : 7 2 1, data missing, 0
7 3 : 7 1 1 1, data missing, 0
7 3 : 6 4, data missing, 0
7 3 : 6 3 1, data missing, 1
7 3 : 6 2 2, data missing, 1
7 3 : 6 2 1 1, data missing, 2
7 3 : 6 1 1 1 1, data missing, 3
7 3 : 5 5, data missing, 0
7 3 : 5 4 1, data missing, 1
7 3 : 5 3 2, data missing, 1
7 3 : 5 3 1 1, data missing, 2
7 3 : 5 2 2 1, data missing, 2
7 3 : 5 2 1 1 1, data missing, 3
7 3 : 5 1 1 1 1 1, data missing, 4
7 3 : 4 4 2, data missing, 1
7 3 : 4 4 1 1, data missing, 2
7 3 : 4 3 3, data missing, 1
7 3 : 4 3 2 1, data missing, 2
7 3 : 4 3 1 1 1, data missing, 3
7 3 : 4 2 2 2, data missing, 2
7 3 : 4 2 2 1 1, data missing, 3
7 3 : 4 2 1 1 1 1, data missing, 4
7 3 : 4 1 1 1 1 1 1, data missing, 5
7 3 : 3 3 3 1, data missing, 2
7 3 : 3 3 2 2, data missing, 2
7 3 : 3 3 2 1 1, data missing, 3
7 3 : 3 3 1 1 1 1, data missing, 4
7 3 : 3 2 2 2 1, data missing, 3
7 3 : 3 2 2 1 1 1, data missing, 4
7 3 : 3 2 1 1 1 1 1, data missing, 5
7 3 : 3 1 1 1 1 1 1 1, data missing, 6
7 3 : 2 2 2 2 2, data missing, 3
7 3 : 2 2 2 2 1 1, data missing, 4
7 3 : 2 2 2 1 1 1 1, data missing, 5
7 3 : 2 2 1 1 1 1 1 1, data missing, 6
7 3 : 2 1 1 1 1 1 1 1 1, data missing, 7
