10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7168788909912109s
10 : 9 1, Dimension too high, 0, time: 0.2517249584197998s
10 : 8 2, Dimension too high, 0, time: 0.038378000259399414s
10 : 8 1 1, Dimension too high, 0, time: 0.0977790355682373s
10 : 7 3, Dimension too high, 0, time: 0.03856706619262695s
10 : 7 2 1, Dimension too high, 0, time: 0.0672600269317627s
10 : 7 1 1 1, Dimension too high, 0, time: 0.14183998107910156s
10 : 6 4, Dimension too high, 0, time: 0.03745388984680176s
10 : 6 3 1, Dimension too high, 0, time: 0.06533193588256836s
10 : 6 2 2, Dimension too high, 0, time: 0.06644892692565918s
10 : 6 2 1 1, Dimension too high, 0, time: 0.10988092422485352s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.21038508415222168s
10 : 5 5, Dimension too high, 0, time: 0.03773188591003418s
10 : 5 4 1, Dimension too high, 0, time: 0.06651496887207031s
10 : 5 3 2, Dimension too high, 0, time: 0.06630992889404297s
10 : 5 3 1 1, Dimension too high, 0, time: 0.11235284805297852s
10 : 5 2 2 1, Dimension too high, 0, time: 0.1144859790802002s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.18481898307800293s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.3399999141693115s
10 : 4 4 2, Dimension too high, 0, time: 0.06747698783874512s
10 : 4 4 1 1, Dimension too high, 0, time: 0.11321187019348145s
10 : 4 3 3, Dimension too high, 0, time: 0.06848382949829102s
10 : 4 3 2 1, Dimension too high, 0, time: 0.11166810989379883s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.18459796905517578s
10 : 4 2 2 2, Dimension too high, 0, time: 0.11291098594665527s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.18304109573364258s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.2866208553314209s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.48092198371887207s
10 : 3 3 3 1, Dimension too high, 0, time: 0.1035771369934082s
10 : 3 3 2 2, Dimension too high, 0, time: 0.10294699668884277s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.16380000114440918s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.25211596488952637s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.1578540802001953s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.24210000038146973s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.4034440517425537s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.7506780624389648s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.15336298942565918s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.2429511547088623s
