10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7164762020111084s
10 : 9 1, Dimension too high, 0, time: 0.2477710247039795s
10 : 8 2, Dimension too high, 0, time: 0.036559104919433594s
10 : 8 1 1, Dimension too high, 0, time: 0.09364914894104004s
10 : 7 3, Dimension too high, 0, time: 0.035926103591918945s
10 : 7 2 1, Dimension too high, 0, time: 0.0637819766998291s
10 : 7 1 1 1, Dimension too high, 0, time: 0.14568114280700684s
10 : 6 4, Dimension too high, 0, time: 0.03698015213012695s
10 : 6 3 1, Dimension too high, 0, time: 0.06428217887878418s
10 : 6 2 2, Dimension too high, 0, time: 0.0641329288482666s
10 : 6 2 1 1, Dimension too high, 0, time: 0.10699295997619629s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.2100210189819336s
10 : 5 5, Dimension too high, 0, time: 0.04068303108215332s
10 : 5 4 1, Dimension too high, 0, time: 0.06929898262023926s
10 : 5 3 2, Dimension too high, 0, time: 0.06585407257080078s
10 : 5 3 1 1, Dimension too high, 0, time: 0.11041998863220215s
10 : 5 2 2 1, Dimension too high, 0, time: 0.10737204551696777s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.18099689483642578s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.32962703704833984s
10 : 4 4 2, Dimension too high, 0, time: 0.06565499305725098s
10 : 4 4 1 1, Dimension too high, 0, time: 0.10886597633361816s
10 : 4 3 3, Dimension too high, 0, time: 0.06607794761657715s
10 : 4 3 2 1, Dimension too high, 0, time: 0.10940718650817871s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.17759203910827637s
10 : 4 2 2 2, Dimension too high, 0, time: 0.10819101333618164s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.17831802368164062s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.2744879722595215s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.47859621047973633s
10 : 3 3 3 1, Dimension too high, 0, time: 0.10853099822998047s
10 : 3 3 2 2, Dimension too high, 0, time: 0.10611295700073242s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.16346096992492676s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.24673199653625488s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.15494108200073242s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.24320101737976074s
