9 : 9, Unable to create polyhedron or calculate h*, NULL, time: 0.8121199607849121s
5 3 1 : 5 2 1 1, 1, 1, time: 0.1318509578704834s
5 3 1 : 5 1 1 1 1, 1, 2, time: 0.2071530818939209s
5 3 1 : 4 4 1, 1, 0, time: 0.08298707008361816s
5 3 1 : 4 3 2, 1, 1, time: 0.0826880931854248s
5 3 1 : 4 3 1 1, 1, 3, time: 0.1416630744934082s
5 3 1 : 4 2 2 1, x + 1, 3, time: 0.141463041305542s
5 3 1 : 4 2 1 1 1, 3*x^2 + 3*x + 1, 5, time: 0.2075808048248291s
5 3 1 : 4 1 1 1 1 1, 4*x^3 + 18*x^2 + 7*x + 1, 7, time: 0.33188700675964355s
5 3 1 : 3 3 3, x + 1, 1, time: 0.10724520683288574s
5 3 1 : 3 3 2 1, 3*x + 1, 3, time: 0.17007803916931152s
5 3 1 : 3 3 1 1 1, x^3 + 6*x^2 + 6*x + 1, 5, time: 0.22228503227233887s
5 3 1 : 3 2 2 2, 3*x^2 + 5*x + 1, 3, time: 0.14560890197753906s
5 3 1 : 3 2 2 1 1, 3*x^3 + 16*x^2 + 10*x + 1, 5, time: 0.2219240665435791s
5 3 1 : 3 2 1 1 1 1, 15*x^4 + 76*x^3 + 82*x^2 + 19*x + 1, 7, time: 0.351215124130249s
5 3 1 : 3 1 1 1 1 1 1, 90*x^5 + 570*x^4 + 804*x^3 + 330*x^2 + 35*x + 1, 9, time: 0.6028330326080322s
5 3 1 : 2 2 2 2 1, 11*x^3 + 37*x^2 + 15*x + 1, 5, time: 0.2065598964691162s
5 3 1 : 2 2 2 1 1 1, 41*x^4 + 179*x^3 + 157*x^2 + 28*x + 1, 7, time: 0.32868218421936035s
5 3 1 : 2 2 1 1 1 1 1, 235*x^5 + 1290*x^4 + 1619*x^3 + 575*x^2 + 50*x + 1, 9, time: 0.593250036239624s
5 3 1 : 2 1 1 1 1 1 1 1, 2127*x^6 + 12702*x^5 + 20400*x^4 + 10857*x^3 + 1888*x^2 + 87*x + 1, 11, time: 4.273638963699341s
5 2 2 : 5 2 2, 1, 0, time: 0.0848398208618164s
5 2 2 : 5 2 1 1, 1, 0, time: 0.13182377815246582s
