10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.8321659564971924s
10 : 9 1, Dimension too high, 0, time: 0.3053121566772461s
10 : 8 2, Dimension too high, 0, time: 0.043435096740722656s
10 : 8 1 1, Dimension too high, 0, time: 0.11035799980163574s
10 : 7 3, Dimension too high, 0, time: 0.04284501075744629s
10 : 7 2 1, Dimension too high, 0, time: 0.07469010353088379s
10 : 7 1 1 1, Dimension too high, 0, time: 0.15877795219421387s
10 : 6 4, Dimension too high, 0, time: 0.04247617721557617s
10 : 6 3 1, Dimension too high, 0, time: 0.07437300682067871s
10 : 6 2 2, Dimension too high, 0, time: 0.0756378173828125s
10 : 6 2 1 1, Dimension too high, 0, time: 0.12471389770507812s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.23873400688171387s
10 : 5 5, Dimension too high, 0, time: 0.04335904121398926s
10 : 5 4 1, Dimension too high, 0, time: 0.07575201988220215s
10 : 5 3 2, Dimension too high, 0, time: 0.07532310485839844s
10 : 5 3 1 1, Dimension too high, 0, time: 0.1214299201965332s
10 : 5 2 2 1, Dimension too high, 0, time: 0.12154698371887207s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.19410395622253418s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.3564949035644531s
10 : 4 4 2, Dimension too high, 0, time: 0.07533502578735352s
10 : 4 4 1 1, Dimension too high, 0, time: 0.12218809127807617s
10 : 4 3 3, Dimension too high, 0, time: 0.0751791000366211s
10 : 4 3 2 1, Dimension too high, 0, time: 0.12153887748718262s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.2088940143585205s
10 : 4 2 2 2, Dimension too high, 0, time: 0.13047099113464355s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.20659685134887695s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.3129279613494873s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.5634567737579346s
10 : 3 3 3 1, Dimension too high, 0, time: 0.12093400955200195s
10 : 3 3 2 2, Dimension too high, 0, time: 0.12066507339477539s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.19169187545776367s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.29506802558898926s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.18486309051513672s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.2888209819793701s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.47850489616394043s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.8863139152526855s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.18314790725708008s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.28745198249816895s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.47681307792663574s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.836280107498169s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.6059789657592773s
9 1 : 9 1, Dimension too high, 0, time: 0.04190707206726074s
9 1 : 8 2, Dimension too high, 0, time: 0.041149139404296875s
9 1 : 8 1 1, Dimension too high, 1, time: 0.0722200870513916s
9 1 : 7 3, Dimension too high, 0, time: 0.041342973709106445s
9 1 : 7 2 1, Dimension too high, 1, time: 0.07232308387756348s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.11633586883544922s
9 1 : 6 4, Dimension too high, 0, time: 0.04137301445007324s
9 1 : 6 3 1, Dimension too high, 1, time: 0.07225489616394043s
9 1 : 6 2 2, Dimension too high, 1, time: 0.07238388061523438s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.11677789688110352s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.1823880672454834s
9 1 : 5 5, Dimension too high, 0, time: 0.0416719913482666s
9 1 : 5 4 1, Dimension too high, 1, time: 0.0727839469909668s
9 1 : 5 3 2, Dimension too high, 1, time: 0.07265710830688477s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.1169271469116211s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.11731386184692383s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.18181800842285156s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.3828601837158203s
9 1 : 4 4 2, Dimension too high, 1, time: 0.07646322250366211s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.12716102600097656s
9 1 : 4 3 3, Dimension too high, 1, time: 0.07630801200866699s
