10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7038829326629639s
10 : 9 1, Dimension too high, 0, time: 0.24136686325073242s
10 : 8 2, Dimension too high, 0, time: 0.03654599189758301s
10 : 8 1 1, Dimension too high, 0, time: 0.09373903274536133s
10 : 7 3, Dimension too high, 0, time: 0.03634309768676758s
10 : 7 2 1, Dimension too high, 0, time: 0.06240200996398926s
10 : 7 1 1 1, Dimension too high, 0, time: 0.1412980556488037s
10 : 6 4, Dimension too high, 0, time: 0.036878108978271484s
10 : 6 3 1, Dimension too high, 0, time: 0.0625s
10 : 6 2 2, Dimension too high, 0, time: 0.06362390518188477s
10 : 6 2 1 1, Dimension too high, 0, time: 0.10464978218078613s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.20207977294921875s
10 : 5 5, Dimension too high, 0, time: 0.03668093681335449s
10 : 5 4 1, Dimension too high, 0, time: 0.06328010559082031s
10 : 5 3 2, Dimension too high, 0, time: 0.06373000144958496s
10 : 5 3 1 1, Dimension too high, 0, time: 0.10774111747741699s
10 : 5 2 2 1, Dimension too high, 0, time: 0.11564183235168457s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.17094707489013672s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.3153870105743408s
10 : 4 4 2, Dimension too high, 0, time: 0.06400704383850098s
10 : 4 4 1 1, Dimension too high, 0, time: 0.10567617416381836s
10 : 4 3 3, Dimension too high, 0, time: 0.06401205062866211s
10 : 4 3 2 1, Dimension too high, 0, time: 0.10699701309204102s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.17266201972961426s
10 : 4 2 2 2, Dimension too high, 0, time: 0.11157798767089844s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.1719040870666504s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.27281999588012695s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.4751310348510742s
10 : 3 3 3 1, Dimension too high, 0, time: 0.10471296310424805s
10 : 3 3 2 2, Dimension too high, 0, time: 0.10380291938781738s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.16515398025512695s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.25084805488586426s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.15823006629943848s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.2456979751586914s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.4023129940032959s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.7511370182037354s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.15269184112548828s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.24153494834899902s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.3980529308319092s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.7026689052581787s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.3561649322509766s
9 1 : 9 1, Dimension too high, 0, time: 0.036438941955566406s
9 1 : 8 2, Dimension too high, 0, time: 0.03547501564025879s
9 1 : 8 1 1, Dimension too high, 1, time: 0.06114006042480469s
9 1 : 7 3, Dimension too high, 0, time: 0.035852909088134766s
9 1 : 7 2 1, Dimension too high, 1, time: 0.06146097183227539s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.09752607345581055s
9 1 : 6 4, Dimension too high, 0, time: 0.03455209732055664s
9 1 : 6 3 1, Dimension too high, 1, time: 0.0604100227355957s
9 1 : 6 2 2, Dimension too high, 1, time: 0.059931039810180664s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.09804606437683105s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.15226292610168457s
9 1 : 5 5, Dimension too high, 0, time: 0.034646034240722656s
9 1 : 5 4 1, Dimension too high, 1, time: 0.06071901321411133s
9 1 : 5 3 2, Dimension too high, 1, time: 0.06052708625793457s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.09685993194580078s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.09746217727661133s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.20810389518737793s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.2963709831237793s
9 1 : 4 4 2, Dimension too high, 1, time: 0.06728100776672363s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.11069917678833008s
9 1 : 4 3 3, Dimension too high, 1, time: 0.06500887870788574s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.11048698425292969s
9 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.17994999885559082s
9 1 : 4 2 2 2, Dimension too high, 2, time: 0.1101830005645752s
9 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.17856907844543457s
9 1 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.29695701599121094s
9 1 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.46764707565307617s
9 1 : 3 3 3 1, Dimension too high, 2, time: 0.11074519157409668s
9 1 : 3 3 2 2, Dimension too high, 2, time: 0.10943198204040527s
9 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.17160797119140625s
9 1 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.2726719379425049s
9 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.17462420463562012s
9 1 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.263958215713501s
9 1 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.41986083984375s
9 1 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.7379858493804932s
9 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.1637270450592041s
9 1 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.2554659843444824s
9 1 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.42775702476501465s
9 1 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.7430970668792725s
9 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.3359780311584473s
8 2 : 8 2, Dimension too high, 0, time: 0.03734016418457031s
8 2 : 8 1 1, Dimension too high, 0, time: 0.06522512435913086s
8 2 : 7 3, Dimension too high, 0, time: 0.037132978439331055s
8 2 : 7 2 1, Dimension too high, 1, time: 0.06419706344604492s
8 2 : 7 1 1 1, Dimension too high, 2, time: 0.10521793365478516s
8 2 : 6 4, Dimension too high, 0, time: 0.037409067153930664s
8 2 : 6 3 1, Dimension too high, 1, time: 0.06438207626342773s
8 2 : 6 2 2, Dimension too high, 1, time: 0.06548905372619629s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.11311817169189453s
8 2 : 6 1 1 1 1, Dimension too high, 3, time: 0.1917281150817871s
8 2 : 5 5, Dimension too high, 0, time: 0.042305946350097656s
8 2 : 5 4 1, Dimension too high, 1, time: 0.07340598106384277s
