10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6472749710083008s
8 2 : 6 4, Dimension too high, 0, time: 0.034664154052734375s
8 2 : 6 3 1, Dimension too high, 1, time: 0.05667686462402344s
8 2 : 6 2 2, Dimension too high, 1, time: 0.05663895606994629s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.09121203422546387s
8 2 : 6 1 1 1 1, Dimension too high, 3, time: 0.14192509651184082s
8 2 : 5 5, Dimension too high, 0, time: 0.032366037368774414s
8 2 : 5 4 1, Dimension too high, 1, time: 0.05608391761779785s
8 2 : 5 3 2, Dimension too high, 1, time: 0.056266069412231445s
8 2 : 5 3 1 1, Dimension too high, 2, time: 0.09099507331848145s
8 2 : 5 2 2 1, Dimension too high, 2, time: 0.09071993827819824s
8 2 : 5 2 1 1 1, Dimension too high, 3, time: 0.14146685600280762s
8 2 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.22516393661499023s
8 2 : 4 4 2, Dimension too high, 1, time: 0.05664706230163574s
8 2 : 4 4 1 1, Dimension too high, 2, time: 0.09089112281799316s
8 2 : 4 3 3, Dimension too high, 1, time: 0.056269168853759766s
8 2 : 4 3 2 1, Dimension too high, 2, time: 0.09065485000610352s
8 2 : 4 3 1 1 1, Dimension too high, 3, time: 0.14166998863220215s
8 2 : 4 2 2 2, Dimension too high, 2, time: 0.09099483489990234s
8 2 : 4 2 2 1 1, Dimension too high, 3, time: 0.14190077781677246s
8 2 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.22685694694519043s
8 2 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.37122201919555664s
8 2 : 3 3 3 1, Dimension too high, 2, time: 0.09075498580932617s
8 2 : 3 3 2 2, Dimension too high, 2, time: 0.09212207794189453s
8 2 : 3 3 2 1 1, Dimension too high, 3, time: 0.1412651538848877s
8 2 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.22266101837158203s
8 2 : 3 2 2 2 1, Dimension too high, 3, time: 0.14150691032409668s
8 2 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.22223806381225586s
8 2 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3742799758911133s
8 2 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6431171894073486s
8 2 : 2 2 2 2 2, Dimension too high, 3, time: 0.14121413230895996s
8 2 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22215795516967773s
8 2 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.36637306213378906s
8 2 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6380329132080078s
8 2 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.2763519287109375s
8 1 1 : 8 1 1, Dimension too high, 0, time: 0.0599210262298584s
8 1 1 : 7 3, Dimension too high, 0, time: 0.03386092185974121s
8 1 1 : 7 2 1, Dimension too high, 0, time: 0.05910086631774902s
8 1 1 : 7 1 1 1, Dimension too high, 2, time: 0.09666085243225098s
8 1 1 : 6 4, Dimension too high, 0, time: 0.03403902053833008s
8 1 1 : 6 3 1, Dimension too high, 0, time: 0.05930590629577637s
8 1 1 : 6 2 2, Dimension too high, 0, time: 0.05960202217102051s
8 1 1 : 6 2 1 1, Dimension too high, 2, time: 0.09682989120483398s
8 1 1 : 6 1 1 1 1, Dimension too high, 4, time: 0.15346908569335938s
8 1 1 : 5 5, Dimension too high, 0, time: 0.03440594673156738s
8 1 1 : 5 4 1, Dimension too high, 0, time: 0.05958700180053711s
8 1 1 : 5 3 2, Dimension too high, 0, time: 0.05945992469787598s
8 1 1 : 5 3 1 1, Dimension too high, 2, time: 0.0975949764251709s
8 1 1 : 5 2 2 1, Dimension too high, 2, time: 0.09848999977111816s
8 1 1 : 5 2 1 1 1, Dimension too high, 4, time: 0.15369200706481934s
8 1 1 : 5 1 1 1 1 1, Dimension too high, 6, time: 0.2491590976715088s
8 1 1 : 4 4 2, Dimension too high, 0, time: 0.05954289436340332s
8 1 1 : 4 4 1 1, Dimension too high, 2, time: 0.09652113914489746s
8 1 1 : 4 3 3, Dimension too high, 0, time: 0.059493064880371094s
8 1 1 : 4 3 2 1, Dimension too high, 2, time: 0.1017448902130127s
8 1 1 : 4 3 1 1 1, Dimension too high, 4, time: 0.16463088989257812s
8 1 1 : 4 2 2 2, Dimension too high, 2, time: 0.10634708404541016s
8 1 1 : 4 2 2 1 1, Dimension too high, 4, time: 0.16026091575622559s
8 1 1 : 4 2 1 1 1 1, Dimension too high, 6, time: 0.26316213607788086s
8 1 1 : 4 1 1 1 1 1 1, Dimension too high, 8, time: 0.42843103408813477s
8 1 1 : 3 3 3 1, Dimension too high, 2, time: 0.10619616508483887s
8 1 1 : 3 3 2 2, Dimension too high, 2, time: 0.11317205429077148s
8 1 1 : 3 3 2 1 1, Dimension too high, 4, time: 0.16401219367980957s
8 1 1 : 3 3 1 1 1 1, Dimension too high, 6, time: 0.2370760440826416s
8 1 1 : 3 2 2 2 1, Dimension too high, 4, time: 0.14855289459228516s
8 1 1 : 3 2 2 1 1 1, Dimension too high, 6, time: 0.2269449234008789s
8 1 1 : 3 2 1 1 1 1 1, Dimension too high, 8, time: 0.38082194328308105s
8 1 1 : 3 1 1 1 1 1 1 1, Dimension too high, 10, time: 0.656548023223877s
8 1 1 : 2 2 2 2 2, Dimension too high, 4, time: 0.15113210678100586s
8 1 1 : 2 2 2 2 1 1, Dimension too high, 6, time: 0.22676491737365723s
8 1 1 : 2 2 2 1 1 1 1, Dimension too high, 8, time: 0.37545299530029297s
8 1 1 : 2 2 1 1 1 1 1 1, Dimension too high, 10, time: 0.7081489562988281s
8 1 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 12, time: 1.2023680210113525s
7 3 : 7 3, Dimension too high, 0, time: 0.03606891632080078s
7 3 : 7 2 1, Dimension too high, 0, time: 0.05967521667480469s
7 3 : 7 1 1 1, Dimension too high, 0, time: 0.09450411796569824s
7 3 : 6 4, Dimension too high, 0, time: 0.03384590148925781s
7 3 : 6 3 1, Dimension too high, 1, time: 0.05799102783203125s
7 3 : 6 2 2, Dimension too high, 1, time: 0.0577089786529541s
7 3 : 6 2 1 1, Dimension too high, 2, time: 0.0934600830078125s
7 3 : 6 1 1 1 1, Dimension too high, 3, time: 0.14372897148132324s
7 3 : 5 5, Dimension too high, 0, time: 0.032959938049316406s
7 3 : 5 4 1, Dimension too high, 1, time: 0.056401968002319336s
7 3 : 5 3 2, Dimension too high, 1, time: 0.05869698524475098s
7 3 : 5 3 1 1, Dimension too high, 2, time: 0.0940859317779541s
7 3 : 5 2 2 1, Dimension too high, 2, time: 0.09269905090332031s
7 3 : 5 2 1 1 1, Dimension too high, 3, time: 0.14422106742858887s
7 3 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.223891019821167s
7 3 : 4 4 2, Dimension too high, 1, time: 0.05666089057922363s
7 3 : 4 4 1 1, Dimension too high, 2, time: 0.0921030044555664s
7 3 : 4 3 3, Dimension too high, 1, time: 0.05779004096984863s
7 3 : 4 3 2 1, Dimension too high, 2, time: 0.09181404113769531s
7 3 : 4 3 1 1 1, Dimension too high, 3, time: 0.14238786697387695s
7 3 : 4 2 2 2, Dimension too high, 2, time: 0.09244298934936523s
7 3 : 4 2 2 1 1, Dimension too high, 3, time: 0.14404821395874023s
7 3 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.23349213600158691s
7 3 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.39514803886413574s
7 3 : 3 3 3 1, Dimension too high, 2, time: 0.0974128246307373s
7 3 : 3 3 2 2, Dimension too high, 2, time: 0.0949709415435791s
7 3 : 3 3 2 1 1, Dimension too high, 3, time: 0.1467602252960205s
