8 : 8, Unable to create polyhedron or calculate h*, NULL, time: 0.0006330013275146484s
8 : 7 1, 1, 0, time: 0.06254005432128906s
8 : 6 2, 1, 0, time: 0.06067299842834473s
8 : 6 1 1, 1, 0, time: 0.11509180068969727s
8 : 5 3, 1, 0, time: 0.050364017486572266s
8 : 5 2 1, 1, 0, time: 0.09985017776489258s
8 : 5 1 1 1, 1, 0, time: 0.1449580192565918s
8 : 4 4, 1, 0, time: 0.04790306091308594s
8 : 4 3 1, 1, 0, time: 0.07905387878417969s
8 : 4 2 2, 1, 0, time: 0.07942891120910645s
8 : 4 2 1 1, 1, 0, time: 0.12486886978149414s
8 : 4 1 1 1 1, 1, 0, time: 0.19212889671325684s
8 : 3 3 2, 1, 0, time: 0.07931804656982422s
8 : 3 3 1 1, 1, 0, time: 0.1247398853302002s
8 : 3 2 2 1, 1, 0, time: 0.12471604347229004s
8 : 3 2 1 1 1, 1, 0, time: 0.19241595268249512s
8 : 3 1 1 1 1 1, 1, 0, time: 0.30429887771606445s
8 : 2 2 2 2, 1, 0, time: 0.12492895126342773s
8 : 2 2 2 1 1, 1, 0, time: 0.191910982131958s
8 : 2 2 1 1 1 1, 1, 0, time: 0.30484509468078613s
8 : 2 1 1 1 1 1 1, 1, 0, time: 0.5327789783477783s
8 : 1 1 1 1 1 1 1 1, 1, 0, time: 1.6117899417877197s
7 1 : 7 1, 1, 0, time: 0.05129694938659668s
7 1 : 6 2, 1, 0, time: 0.04964089393615723s
7 1 : 6 1 1, 1, 1, time: 0.08226990699768066s
7 1 : 5 3, 1, 0, time: 0.049664974212646484s
7 1 : 5 2 1, 1, 1, time: 0.0834498405456543s
7 1 : 5 1 1 1, 1, 2, time: 0.1339890956878662s
7 1 : 4 4, 1, 0, time: 0.050163984298706055s
7 1 : 4 3 1, 1, 1, time: 0.08318805694580078s
7 1 : 4 2 2, 1, 1, time: 0.08360409736633301s
7 1 : 4 2 1 1, 1, 2, time: 0.1373591423034668s
7 1 : 4 1 1 1 1, 1, 3, time: 0.2097480297088623s
7 1 : 3 3 2, 1, 1, time: 0.08370780944824219s
7 1 : 3 3 1 1, 1, 2, time: 0.13477706909179688s
7 1 : 3 2 2 1, 1, 2, time: 0.13538599014282227s
7 1 : 3 2 1 1 1, 1, 3, time: 0.2083721160888672s
7 1 : 3 1 1 1 1 1, 1, 4, time: 0.3371877670288086s
7 1 : 2 2 2 2, 1, 2, time: 0.13337278366088867s
7 1 : 2 2 2 1 1, 1, 3, time: 0.20814800262451172s
7 1 : 2 2 1 1 1 1, 1, 4, time: 0.3422379493713379s
7 1 : 2 1 1 1 1 1 1, 1, 5, time: 0.5486271381378174s
7 1 : 1 1 1 1 1 1 1 1, 1, 6, time: 2.4134700298309326s
6 2 : 6 2, 1, 0, time: 0.05124211311340332s
6 2 : 6 1 1, 1, 0, time: 0.08258390426635742s
6 2 : 5 3, 1, 0, time: 0.049577951431274414s
6 2 : 5 2 1, 1, 1, time: 0.08417582511901855s
6 2 : 5 1 1 1, 1, 2, time: 0.13484406471252441s
6 2 : 4 4, 1, 0, time: 0.05050086975097656s
6 2 : 4 3 1, 1, 1, time: 0.08340787887573242s
6 2 : 4 2 2, x + 1, 1, time: 0.08352208137512207s
6 2 : 4 2 1 1, x + 1, 2, time: 0.13274812698364258s
6 2 : 4 1 1 1 1, x^2 + 2*x + 1, 3, time: 0.21029090881347656s
6 2 : 3 3 2, x + 1, 1, time: 0.0835120677947998s
6 2 : 3 3 1 1, x + 1, 2, time: 0.13216304779052734s
6 2 : 3 2 2 1, 2*x + 1, 2, time: 0.1340029239654541s
6 2 : 3 2 1 1 1, x^2 + 3*x + 1, 3, time: 0.20746397972106934s
6 2 : 3 1 1 1 1 1, 5*x^2 + 5*x + 1, 4, time: 0.3368711471557617s
6 2 : 2 2 2 2, 3*x + 1, 2, time: 0.13285303115844727s
6 2 : 2 2 2 1 1, x^2 + 4*x + 1, 3, time: 0.2064371109008789s
6 2 : 2 2 1 1 1 1, 5*x^2 + 6*x + 1, 4, time: 0.3191981315612793s
6 2 : 2 1 1 1 1 1 1, x^3 + 15*x^2 + 9*x + 1, 5, time: 0.5468668937683105s
6 2 : 1 1 1 1 1 1 1 1, 7*x^3 + 35*x^2 + 13*x + 1, 6, time: 2.038975954055786s
6 1 1 : 6 1 1, 1, 0, time: 0.0839548110961914s
6 1 1 : 5 3, 1, 0, time: 0.049459218978881836s
6 1 1 : 5 2 1, 1, 0, time: 0.0830690860748291s
6 1 1 : 5 1 1 1, 1, 2, time: 0.13393712043762207s
6 1 1 : 4 4, 1, 0, time: 0.05015993118286133s
6 1 1 : 4 3 1, 1, 0, time: 0.0838310718536377s
6 1 1 : 4 2 2, 1, 0, time: 0.08324599266052246s
6 1 1 : 4 2 1 1, 1, 2, time: 0.1330718994140625s
6 1 1 : 4 1 1 1 1, x + 1, 4, time: 0.20854806900024414s
6 1 1 : 3 3 2, 1, 0, time: 0.08321094512939453s
6 1 1 : 3 3 1 1, 1, 2, time: 0.1324141025543213s
6 1 1 : 3 2 2 1, 1, 2, time: 0.13334107398986816s
6 1 1 : 3 2 1 1 1, x + 1, 4, time: 0.20750093460083008s
6 1 1 : 3 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.3327169418334961s
6 1 1 : 2 2 2 2, 1, 2, time: 0.1326920986175537s
6 1 1 : 2 2 2 1 1, x + 1, 4, time: 0.2073221206665039s
6 1 1 : 2 2 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.33339786529541016s
6 1 1 : 2 1 1 1 1 1 1, x^3 + 6*x^2 + 6*x + 1, 8, time: 0.5266530513763428s
6 1 1 : 1 1 1 1 1 1 1 1, x^4 + 10*x^3 + 20*x^2 + 10*x + 1, 10, time: 2.6272621154785156s
5 3 : 5 3, 1, 0, time: 0.0513150691986084s
5 3 : 5 2 1, 1, 0, time: 0.08208513259887695s
5 3 : 5 1 1 1, 1, 0, time: 0.13442492485046387s
5 3 : 4 4, 1, 0, time: 0.050215959548950195s
5 3 : 4 3 1, 1, 1, time: 0.08316397666931152s
5 3 : 4 2 2, 1, 1, time: 0.08360695838928223s
5 3 : 4 2 1 1, 1, 2, time: 0.13368701934814453s
5 3 : 4 1 1 1 1, 1, 3, time: 0.20952296257019043s
5 3 : 3 3 2, x + 1, 1, time: 0.08391785621643066s
5 3 : 3 3 1 1, x + 1, 2, time: 0.1324930191040039s
5 3 : 3 2 2 1, 2*x + 1, 2, time: 0.13364195823669434s
5 3 : 3 2 1 1 1, x^2 + 3*x + 1, 3, time: 0.209212064743042s
5 3 : 3 1 1 1 1 1, 5*x^2 + 5*x + 1, 4, time: 0.33861708641052246s
5 3 : 2 2 2 2, x^2 + 3*x + 1, 2, time: 0.13313984870910645s
5 3 : 2 2 2 1 1, 3*x^2 + 5*x + 1, 3, time: 0.20800995826721191s
5 3 : 2 2 1 1 1 1, x^3 + 11*x^2 + 8*x + 1, 4, time: 0.324970006942749s
5 3 : 2 1 1 1 1 1 1, x^4 + 14*x^3 + 36*x^2 + 13*x + 1, 5, time: 0.5555851459503174s
5 3 : 1 1 1 1 1 1 1 1, 20*x^4 + 98*x^3 + 105*x^2 + 21*x + 1, 6, time: 2.2478840351104736s
5 2 1 : 5 2 1, 1, 0, time: 0.08499503135681152s
5 2 1 : 5 1 1 1, 1, 1, time: 0.13223695755004883s
5 2 1 : 4 4, 1, 0, time: 0.049517154693603516s
5 2 1 : 4 3 1, 1, 0, time: 0.08330702781677246s
5 2 1 : 4 2 2, 1, 1, time: 0.0840151309967041s
5 2 1 : 4 2 1 1, 1, 3, time: 0.1522209644317627s
5 2 1 : 4 1 1 1 1, 3*x^2 + 2*x + 1, 5, time: 0.20953798294067383s
5 2 1 : 3 3 2, 1, 1, time: 0.08327102661132812s
5 2 1 : 3 3 1 1, 1, 3, time: 0.13233089447021484s
5 2 1 : 3 2 2 1, 2*x + 1, 3, time: 0.13300395011901855s
5 2 1 : 3 2 1 1 1, x^3 + 6*x^2 + 5*x + 1, 5, time: 0.20757198333740234s
5 2 1 : 3 1 1 1 1 1, 10*x^4 + 44*x^3 + 48*x^2 + 12*x + 1, 7, time: 0.3364999294281006s
5 2 1 : 2 2 2 2, x^2 + 4*x + 1, 3, time: 0.1325230598449707s
5 2 1 : 2 2 2 1 1, 2*x^3 + 10*x^2 + 8*x + 1, 5, time: 0.20634102821350098s
5 2 1 : 2 2 1 1 1 1, 11*x^4 + 56*x^3 + 62*x^2 + 16*x + 1, 7, time: 0.31378793716430664s
5 2 1 : 2 1 1 1 1 1 1, 50*x^5 + 370*x^4 + 570*x^3 + 254*x^2 + 30*x + 1, 9, time: 0.5590360164642334s
5 2 1 : 1 1 1 1 1 1 1 1, 202*x^6 + 1992*x^5 + 4685*x^4 + 3388*x^3 + 796*x^2 + 52*x + 1, 11, time: 5.048969030380249s
5 1 1 1 : 5 1 1 1, 1, 0, time: 0.13297510147094727s
5 1 1 1 : 4 4, 1, 0, time: 0.04977107048034668s
5 1 1 1 : 4 3 1, 0, -1, time: 0.012042999267578125s
5 1 1 1 : 4 2 2, 1, 0, time: 0.08315205574035645s
5 1 1 1 : 4 2 1 1, 1, 0, time: 0.13249492645263672s
5 1 1 1 : 4 1 1 1 1, 1, 3, time: 0.2066190242767334s
5 1 1 1 : 3 3 2, 1, 0, time: 0.08346009254455566s
5 1 1 1 : 3 3 1 1, 1, 0, time: 0.13254213333129883s
5 1 1 1 : 3 2 2 1, 1, 0, time: 0.13249993324279785s
5 1 1 1 : 3 2 1 1 1, 1, 3, time: 0.20611810684204102s
5 1 1 1 : 3 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.3283650875091553s
5 1 1 1 : 2 2 2 2, 1, 0, time: 0.13242101669311523s
5 1 1 1 : 2 2 2 1 1, 1, 3, time: 0.20714712142944336s
5 1 1 1 : 2 2 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.3108479976654053s
5 1 1 1 : 2 1 1 1 1 1 1, x^4 + 10*x^3 + 20*x^2 + 10*x + 1, 9, time: 0.51236891746521s
5 1 1 1 : 1 1 1 1 1 1 1 1, x^6 + 22*x^5 + 113*x^4 + 190*x^3 + 113*x^2 + 22*x + 1, 12, time: 2.1351239681243896s
4 4 : 4 4, 1, 0, time: 0.04968714714050293s
4 4 : 4 3 1, 1, 0, time: 0.07914996147155762s
4 4 : 4 2 2, 1, 0, time: 0.07912588119506836s
4 4 : 4 2 1 1, 1, 0, time: 0.12541985511779785s
4 4 : 4 1 1 1 1, 1, 0, time: 0.19298315048217773s
4 4 : 3 3 2, 1, 0, time: 0.07939887046813965s
4 4 : 3 3 1 1, 1, 1, time: 0.12470602989196777s
4 4 : 3 2 2 1, 1, 1, time: 0.12526202201843262s
4 4 : 3 2 1 1 1, 1, 2, time: 0.1952800750732422s
4 4 : 3 1 1 1 1 1, 1, 3, time: 0.30278992652893066s
4 4 : 2 2 2 2, x + 1, 1, time: 0.12558698654174805s
4 4 : 2 2 2 1 1, x + 1, 2, time: 0.19354796409606934s
4 4 : 2 2 1 1 1 1, x^2 + 2*x + 1, 3, time: 0.3059830665588379s
4 4 : 2 1 1 1 1 1 1, 5*x^2 + 4*x + 1, 4, time: 0.5432310104370117s
4 4 : 1 1 1 1 1 1 1 1, x^4 + 8*x^3 + 22*x^2 + 8*x + 1, 5, time: 2.1066479682922363s
4 3 1 : 4 3 1, 1, 0, time: 0.08406710624694824s
4 3 1 : 4 2 2, 1, 0, time: 0.08312296867370605s
4 3 1 : 4 2 1 1, 1, 1, time: 0.13410210609436035s
4 3 1 : 4 1 1 1 1, 1, 2, time: 0.20892000198364258s
4 3 1 : 3 3 2, 1, 1, time: 0.08336591720581055s
4 3 1 : 3 3 1 1, 1, 3, time: 0.1325819492340088s
4 3 1 : 3 2 2 1, x + 1, 3, time: 0.13271403312683105s
4 3 1 : 3 2 1 1 1, 3*x^2 + 3*x + 1, 5, time: 0.20681095123291016s
4 3 1 : 3 1 1 1 1 1, 4*x^3 + 18*x^2 + 7*x + 1, 7, time: 0.3287670612335205s
4 3 1 : 2 2 2 2, 2*x^2 + 3*x + 1, 3, time: 0.13298892974853516s
4 3 1 : 2 2 2 1 1, 2*x^3 + 12*x^2 + 7*x + 1, 5, time: 0.20392799377441406s
4 3 1 : 2 2 1 1 1 1, 14*x^4 + 64*x^3 + 68*x^2 + 15*x + 1, 7, time: 0.31017112731933594s
4 3 1 : 2 1 1 1 1 1 1, 89*x^5 + 550*x^4 + 744*x^3 + 296*x^2 + 30*x + 1, 9, time: 0.5679080486297607s
4 3 1 : 1 1 1 1 1 1 1 1, 1400*x^6 + 7860*x^5 + 12255*x^4 + 6472*x^3 + 1158*x^2 + 58*x + 1, 11, time: 5.630434036254883s
4 2 2 : 4 2 2, 1, 0, time: 0.0875701904296875s
4 2 2 : 4 2 1 1, 1, 0, time: 0.1320650577545166s
4 2 2 : 4 1 1 1 1, 1, 1, time: 0.2087409496307373s
4 2 2 : 3 3 2, 1, 0, time: 0.08307814598083496s
4 2 2 : 3 3 1 1, 1, 0, time: 0.13213491439819336s
4 2 2 : 3 2 2 1, 1, 2, time: 0.13190197944641113s
4 2 2 : 3 2 1 1 1, 1, 4, time: 0.2068638801574707s
4 2 2 : 3 1 1 1 1 1, 6*x^2 + 3*x + 1, 6, time: 0.37209320068359375s
