7 : 7, Unable to create polyhedron or calculate h*, NULL, time: 0.0005090236663818359s
7 : 6 1, 1, 0, time: 0.0483698844909668s
7 : 5 2, 1, 0, time: 0.04857802391052246s
7 : 5 1 1, 1, 0, time: 0.08033108711242676s
7 : 4 3, 1, 0, time: 0.04770493507385254s
7 : 4 2 1, 1, 0, time: 0.07854700088500977s
7 : 4 1 1 1, 1, 0, time: 0.12346005439758301s
7 : 3 3 1, 1, 0, time: 0.07838320732116699s
7 : 3 2 2, 1, 0, time: 0.0787801742553711s
7 : 3 2 1 1, 1, 0, time: 0.12427783012390137s
7 : 3 1 1 1 1, 1, 0, time: 0.19107890129089355s
7 : 2 2 2 1, 1, 0, time: 0.1264500617980957s
7 : 2 2 1 1 1, 1, 0, time: 0.19139909744262695s
7 : 2 1 1 1 1 1, 1, 0, time: 0.30085182189941406s
7 : 1 1 1 1 1 1 1, 1, 0, time: 0.7430610656738281s
6 1 : 6 1, 1, 0, time: 0.051074981689453125s
6 1 : 5 2, 1, 0, time: 0.04985690116882324s
6 1 : 5 1 1, 1, 1, time: 0.08348202705383301s
6 1 : 4 3, 1, 0, time: 0.04980778694152832s
6 1 : 4 2 1, 1, 1, time: 0.08299589157104492s
6 1 : 4 1 1 1, 1, 2, time: 0.1332111358642578s
6 1 : 3 3 1, 1, 1, time: 0.08329105377197266s
6 1 : 3 2 2, 1, 1, time: 0.08414793014526367s
6 1 : 3 2 1 1, 1, 2, time: 0.1340038776397705s
6 1 : 3 1 1 1 1, 1, 3, time: 0.2075200080871582s
6 1 : 2 2 2 1, 1, 2, time: 0.1317918300628662s
6 1 : 2 2 1 1 1, 1, 3, time: 0.20635986328125s
6 1 : 2 1 1 1 1 1, 1, 4, time: 0.33280396461486816s
6 1 : 1 1 1 1 1 1 1, 1, 5, time: 0.5606679916381836s
5 2 : 5 2, 1, 0, time: 0.05081892013549805s
5 2 : 5 1 1, 1, 0, time: 0.08201408386230469s
5 2 : 4 3, 1, 0, time: 0.04933500289916992s
5 2 : 4 2 1, 1, 1, time: 0.08205795288085938s
5 2 : 4 1 1 1, 1, 2, time: 0.13077592849731445s
5 2 : 3 3 1, 1, 1, time: 0.08191490173339844s
5 2 : 3 2 2, x + 1, 1, time: 0.08254694938659668s
5 2 : 3 2 1 1, x + 1, 2, time: 0.12985897064208984s
5 2 : 3 1 1 1 1, x^2 + 2*x + 1, 3, time: 0.19479703903198242s
5 2 : 2 2 2 1, 2*x + 1, 2, time: 0.12642908096313477s
5 2 : 2 2 1 1 1, x^2 + 3*x + 1, 3, time: 0.19362092018127441s
5 2 : 2 1 1 1 1 1, 5*x^2 + 5*x + 1, 4, time: 0.30503010749816895s
5 2 : 1 1 1 1 1 1 1, x^3 + 15*x^2 + 8*x + 1, 5, time: 0.5457799434661865s
5 1 1 : 5 1 1, 1, 0, time: 0.08032798767089844s
5 1 1 : 4 3, 1, 0, time: 0.04827713966369629s
5 1 1 : 4 2 1, 1, 0, time: 0.07931900024414062s
5 1 1 : 4 1 1 1, 1, 2, time: 0.12484407424926758s
5 1 1 : 3 3 1, 1, 0, time: 0.07953095436096191s
5 1 1 : 3 2 2, 1, 0, time: 0.07938385009765625s
5 1 1 : 3 2 1 1, 1, 2, time: 0.12540388107299805s
5 1 1 : 3 1 1 1 1, x + 1, 4, time: 0.19226884841918945s
5 1 1 : 2 2 2 1, 1, 2, time: 0.1252439022064209s
5 1 1 : 2 2 1 1 1, x + 1, 4, time: 0.19255590438842773s
5 1 1 : 2 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.30384016036987305s
5 1 1 : 1 1 1 1 1 1 1, x^3 + 6*x^2 + 6*x + 1, 8, time: 0.5164649486541748s
4 3 : 4 3, 1, 0, time: 0.049031972885131836s
4 3 : 4 2 1, 1, 0, time: 0.07916688919067383s
4 3 : 4 1 1 1, 1, 0, time: 0.12507295608520508s
4 3 : 3 3 1, 1, 1, time: 0.0797419548034668s
4 3 : 3 2 2, 1, 1, time: 0.07941699028015137s
4 3 : 3 2 1 1, 1, 2, time: 0.12529993057250977s
4 3 : 3 1 1 1 1, 1, 3, time: 0.19319510459899902s
4 3 : 2 2 2 1, x + 1, 2, time: 0.12558794021606445s
4 3 : 2 2 1 1 1, x^2 + 2*x + 1, 3, time: 0.19336605072021484s
4 3 : 2 1 1 1 1 1, 5*x^2 + 4*x + 1, 4, time: 0.304980993270874s
4 3 : 1 1 1 1 1 1 1, x^4 + 8*x^3 + 22*x^2 + 8*x + 1, 5, time: 0.5543088912963867s
4 2 1 : 4 2 1, 1, 0, time: 0.08059501647949219s
4 2 1 : 4 1 1 1, 1, 1, time: 0.1264958381652832s
4 2 1 : 3 3 1, 1, 0, time: 0.07931900024414062s
4 2 1 : 3 2 2, 1, 1, time: 0.07929110527038574s
4 2 1 : 3 2 1 1, 1, 3, time: 0.12471199035644531s
4 2 1 : 3 1 1 1 1, 3*x^2 + 2*x + 1, 5, time: 0.19238996505737305s
4 2 1 : 2 2 2 1, 2*x + 1, 3, time: 0.12671709060668945s
4 2 1 : 2 2 1 1 1, x^3 + 6*x^2 + 5*x + 1, 5, time: 0.1941988468170166s
4 2 1 : 2 1 1 1 1 1, 10*x^4 + 44*x^3 + 48*x^2 + 12*x + 1, 7, time: 0.30451488494873047s
4 2 1 : 1 1 1 1 1 1 1, 49*x^5 + 350*x^4 + 510*x^3 + 220*x^2 + 25*x + 1, 9, time: 0.6143989562988281s
4 1 1 1 : 4 1 1 1, 1, 0, time: 0.14386391639709473s
4 1 1 1 : 3 3 1, 0, -1, time: 0.033531904220581055s
4 1 1 1 : 3 2 2, 1, 0, time: 0.11485099792480469s
4 1 1 1 : 3 2 1 1, 1, 0, time: 0.12714791297912598s
4 1 1 1 : 3 1 1 1 1, 1, 3, time: 0.20582795143127441s
4 1 1 1 : 2 2 2 1, 1, 0, time: 0.1424100399017334s
4 1 1 1 : 2 2 1 1 1, 1, 3, time: 0.20956993103027344s
4 1 1 1 : 2 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.3014039993286133s
4 1 1 1 : 1 1 1 1 1 1 1, x^4 + 10*x^3 + 20*x^2 + 10*x + 1, 9, time: 0.5153419971466064s
3 3 1 : 3 3 1, 1, 0, time: 0.09441995620727539s
3 3 1 : 3 2 2, 1, 0, time: 0.09675192832946777s
3 3 1 : 3 2 1 1, 1, 1, time: 0.1267850399017334s
3 3 1 : 3 1 1 1 1, 1, 2, time: 0.20755791664123535s
3 3 1 : 2 2 2 1, 1, 2, time: 0.12727093696594238s
3 3 1 : 2 2 1 1 1, x^2 + x + 1, 4, time: 0.20452213287353516s
3 3 1 : 2 1 1 1 1 1, x^3 + 9*x^2 + 4*x + 1, 6, time: 0.31926608085632324s
3 3 1 : 1 1 1 1 1 1 1, 36*x^4 + 96*x^3 + 72*x^2 + 12*x + 1, 8, time: 0.5622620582580566s
3 2 2 : 3 2 2, 1, 0, time: 0.10246992111206055s
3 2 2 : 3 2 1 1, 1, 0, time: 0.12659001350402832s
3 2 2 : 3 1 1 1 1, 1, 1, time: 0.21076393127441406s
3 2 2 : 2 2 2 1, 1, 2, time: 0.1268930435180664s
3 2 2 : 2 2 1 1 1, 1, 4, time: 0.20377302169799805s
3 2 2 : 2 1 1 1 1 1, 6*x^2 + 3*x + 1, 6, time: 0.3153979778289795s
3 2 2 : 1 1 1 1 1 1 1, x^6 + 12*x^5 + 78*x^4 + 133*x^3 + 78*x^2 + 12*x + 1, 8, time: 0.6149280071258545s
3 2 1 1 : 3 2 1 1, 1, 0, time: 0.14567780494689941s
