5 : 5, Unable to create polyhedron or calculate h*, NULL, time: 0.0006690025329589844s
5 : 4 1, 1, 0, time: 0.0546419620513916s
5 : 3 2, 1, 0, time: 0.049310922622680664s
5 : 3 1 1, 1, 0, time: 0.0816338062286377s
5 : 2 2 1, 1, 0, time: 0.0816199779510498s
5 : 2 1 1 1, 1, 0, time: 0.12885403633117676s
5 : 1 1 1 1 1, 1, 0, time: 0.2395799160003662s
4 1 : 4 1, 1, 0, time: 0.04847598075866699s
4 1 : 3 2, 1, 0, time: 0.04864692687988281s
4 1 : 3 1 1, 1, 1, time: 0.08081817626953125s
4 1 : 2 2 1, 1, 1, time: 0.08112502098083496s
4 1 : 2 1 1 1, 1, 2, time: 0.12760305404663086s
4 1 : 1 1 1 1 1, 1, 3, time: 0.20230603218078613s
3 2 : 3 2, 1, 0, time: 0.04885506629943848s
3 2 : 3 1 1, 1, 0, time: 0.08096504211425781s
3 2 : 2 2 1, 1, 1, time: 0.08215999603271484s
3 2 : 2 1 1 1, 1, 2, time: 0.12932491302490234s
3 2 : 1 1 1 1 1, x^2 + x + 1, 3, time: 0.42446088790893555s
3 1 1 : 3 1 1, 1, 0, time: 0.08417105674743652s
3 1 1 : 2 2 1, 1, 0, time: 0.08046698570251465s
3 1 1 : 2 1 1 1, 1, 2, time: 0.12990999221801758s
3 1 1 : 1 1 1 1 1, x + 1, 4, time: 0.20084309577941895s
2 2 1 : 2 2 1, 1, 0, time: 0.08105087280273438s
2 2 1 : 2 1 1 1, 1, 1, time: 0.12902092933654785s
2 2 1 : 1 1 1 1 1, x^2 + 1, 4, time: 0.20440196990966797s
2 1 1 1 : 2 1 1 1, 1, 0, time: 0.13572001457214355s
2 1 1 1 : 1 1 1 1 1, 1, 3, time: 0.19129586219787598s
1 1 1 1 1 : 1 1 1 1 1, 1, 0, time: 0.1904158592224121s
Total time (seconds): 3.4246909618377686
