6 : 6, Unable to create polyhedron or calculate h*, NULL, time: 0.000823974609375s
6 : 5 1, 1, 0, time: 0.05794811248779297s
6 : 4 2, 1, 0, time: 0.06585288047790527s
6 : 4 1 1, 1, 0, time: 0.07834506034851074s
6 : 3 3, 1, 0, time: 0.04734683036804199s
6 : 3 2 1, 1, 0, time: 0.07821297645568848s
6 : 3 1 1 1, 1, 0, time: 0.12335801124572754s
6 : 2 2 2, 1, 0, time: 0.07863402366638184s
6 : 2 2 1 1, 1, 0, time: 0.12357282638549805s
6 : 2 1 1 1 1, 1, 0, time: 0.1899089813232422s
6 : 1 1 1 1 1 1, 1, 0, time: 0.3400850296020508s
5 1 : 5 1, 1, 0, time: 0.047399044036865234s
5 1 : 4 2, 1, 0, time: 0.0470120906829834s
5 1 : 4 1 1, 1, 1, time: 0.07839703559875488s
5 1 : 3 3, 1, 0, time: 0.047116994857788086s
5 1 : 3 2 1, 1, 1, time: 0.07815003395080566s
5 1 : 3 1 1 1, 1, 2, time: 0.12311697006225586s
5 1 : 2 2 2, 1, 1, time: 0.07822918891906738s
5 1 : 2 2 1 1, 1, 2, time: 0.12347102165222168s
5 1 : 2 1 1 1 1, 1, 3, time: 0.18982386589050293s
5 1 : 1 1 1 1 1 1, 1, 4, time: 0.29755401611328125s
4 2 : 4 2, 1, 0, time: 0.047506093978881836s
4 2 : 4 1 1, 1, 0, time: 0.07786321640014648s
4 2 : 3 3, 1, 0, time: 0.04698801040649414s
4 2 : 3 2 1, 1, 1, time: 0.07919502258300781s
4 2 : 3 1 1 1, 1, 2, time: 0.12317013740539551s
4 2 : 2 2 2, x + 1, 1, time: 0.07811403274536133s
4 2 : 2 2 1 1, x + 1, 2, time: 0.12363791465759277s
4 2 : 2 1 1 1 1, x^2 + 2*x + 1, 3, time: 0.2361738681793213s
4 2 : 1 1 1 1 1 1, 5*x^2 + 4*x + 1, 4, time: 0.3029968738555908s
4 1 1 : 4 1 1, 1, 0, time: 0.07856416702270508s
4 1 1 : 3 3, 1, 0, time: 0.04715394973754883s
4 1 1 : 3 2 1, 1, 0, time: 0.07854294776916504s
4 1 1 : 3 1 1 1, 1, 2, time: 0.12291193008422852s
4 1 1 : 2 2 2, 1, 0, time: 0.07861685752868652s
4 1 1 : 2 2 1 1, 1, 2, time: 0.12319207191467285s
4 1 1 : 2 1 1 1 1, x + 1, 4, time: 0.18912100791931152s
4 1 1 : 1 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.2957890033721924s
3 3 : 3 3, 1, 0, time: 0.04738807678222656s
3 3 : 3 2 1, 1, 0, time: 0.07796883583068848s
3 3 : 3 1 1 1, 1, 0, time: 0.12310600280761719s
3 3 : 2 2 2, 1, 0, time: 0.07839393615722656s
3 3 : 2 2 1 1, 1, 1, time: 0.12340784072875977s
3 3 : 2 1 1 1 1, 1, 2, time: 0.19403696060180664s
3 3 : 1 1 1 1 1 1, x^2 + x + 1, 3, time: 0.3043980598449707s
3 2 1 : 3 2 1, 1, 0, time: 0.07848906517028809s
3 2 1 : 3 1 1 1, 1, 1, time: 0.12315797805786133s
3 2 1 : 2 2 2, 1, 1, time: 0.07843494415283203s
3 2 1 : 2 2 1 1, 1, 3, time: 0.12359905242919922s
3 2 1 : 2 1 1 1 1, 3*x^2 + 2*x + 1, 5, time: 0.1913471221923828s
3 2 1 : 1 1 1 1 1 1, 9*x^4 + 32*x^3 + 35*x^2 + 8*x + 1, 7, time: 0.30135202407836914s
3 1 1 1 : 3 1 1 1, 1, 0, time: 0.12311196327209473s
3 1 1 1 : 2 2 2, 1, 0, time: 0.07854509353637695s
3 1 1 1 : 2 2 1 1, 1, 0, time: 0.12332391738891602s
3 1 1 1 : 2 1 1 1 1, 1, 3, time: 0.1901090145111084s
3 1 1 1 : 1 1 1 1 1 1, x^2 + 3*x + 1, 6, time: 0.29717493057250977s
2 2 2 : 2 2 2, 1, 0, time: 0.07787513732910156s
2 2 2 : 2 2 1 1, 1, 0, time: 0.12850689888000488s
2 2 2 : 2 1 1 1 1, 1, 1, time: 0.20299696922302246s
2 2 2 : 1 1 1 1 1 1, x^2 + 1, 4, time: 0.2994201183319092s
2 2 1 1 : 2 2 1 1, 1, 0, time: 0.12351608276367188s
2 2 1 1 : 2 1 1 1 1, 1, 2, time: 0.18947410583496094s
2 2 1 1 : 1 1 1 1 1 1, x^4 + x^3 + 6*x^2 + x + 1, 7, time: 0.300915002822876s
2 1 1 1 1 : 2 1 1 1 1, 1, 0, time: 0.1896500587463379s
2 1 1 1 1 : 1 1 1 1 1 1, 1, 4, time: 0.29468297958374023s
1 1 1 1 1 1 : 1 1 1 1 1 1, 1, 0, time: 0.29384684562683105s
Total time (seconds): 9.191021919250488
