10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7289490699768066s
10 : 9 1, Dimension too high, 0, time: 0.2539520263671875s
10 : 8 2, Dimension too high, 0, time: 0.03803610801696777s
10 : 8 1 1, Dimension too high, 0, time: 0.0974738597869873s
10 : 7 3, Dimension too high, 0, time: 0.03762006759643555s
10 : 7 2 1, Dimension too high, 0, time: 0.06527090072631836s
10 : 7 1 1 1, Dimension too high, 0, time: 0.1427299976348877s
10 : 6 4, Dimension too high, 0, time: 0.03869199752807617s
10 : 6 3 1, Dimension too high, 0, time: 0.06624507904052734s
10 : 6 2 2, Dimension too high, 0, time: 0.06579208374023438s
10 : 6 2 1 1, Dimension too high, 0, time: 0.1122598648071289s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.21141600608825684s
10 : 5 5, Dimension too high, 0, time: 0.0381779670715332s
10 : 5 4 1, Dimension too high, 0, time: 0.06618905067443848s
10 : 5 3 2, Dimension too high, 0, time: 0.0678861141204834s
10 : 5 3 1 1, Dimension too high, 0, time: 0.11304998397827148s
10 : 5 2 2 1, Dimension too high, 0, time: 0.11194491386413574s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.18389892578125s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.34815096855163574s
10 : 4 4 2, Dimension too high, 0, time: 0.0678720474243164s
10 : 4 4 1 1, Dimension too high, 0, time: 0.11171603202819824s
10 : 4 3 3, Dimension too high, 0, time: 0.06745386123657227s
10 : 4 3 2 1, Dimension too high, 0, time: 0.11285614967346191s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.18920111656188965s
10 : 4 2 2 2, Dimension too high, 0, time: 0.11466217041015625s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.1857600212097168s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.3026599884033203s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.5041821002960205s
10 : 3 3 3 1, Dimension too high, 0, time: 0.1160271167755127s
10 : 3 3 2 2, Dimension too high, 0, time: 0.11094784736633301s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.17568683624267578s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.25931692123413086s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.16374492645263672s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.25285792350769043s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.41908907890319824s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.782451868057251s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.16044306755065918s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.25180721282958984s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.41548991203308105s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.7356419563293457s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.4070420265197754s
9 1 : 9 1, Dimension too high, 0, time: 0.037278175354003906s
9 1 : 8 2, Dimension too high, 0, time: 0.03643989562988281s
9 1 : 8 1 1, Dimension too high, 1, time: 0.0628659725189209s
9 1 : 7 3, Dimension too high, 0, time: 0.03706097602844238s
9 1 : 7 2 1, Dimension too high, 1, time: 0.06273508071899414s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.10287618637084961s
9 1 : 6 4, Dimension too high, 0, time: 0.03667306900024414s
9 1 : 6 3 1, Dimension too high, 1, time: 0.06361222267150879s
9 1 : 6 2 2, Dimension too high, 1, time: 0.06367206573486328s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.10202479362487793s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.1606731414794922s
9 1 : 5 5, Dimension too high, 0, time: 0.037770986557006836s
9 1 : 5 4 1, Dimension too high, 1, time: 0.06474494934082031s
9 1 : 5 3 2, Dimension too high, 1, time: 0.06285309791564941s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.10245418548583984s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.10258698463439941s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.15807414054870605s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.3739051818847656s
9 1 : 4 4 2, Dimension too high, 1, time: 0.0704050064086914s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.11706089973449707s
9 1 : 4 3 3, Dimension too high, 1, time: 0.06947898864746094s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.11728596687316895s
9 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.19453191757202148s
9 1 : 4 2 2 2, Dimension too high, 2, time: 0.11748003959655762s
9 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.19278311729431152s
9 1 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.32535386085510254s
9 1 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.5186610221862793s
9 1 : 3 3 3 1, Dimension too high, 2, time: 0.11852002143859863s
9 1 : 3 3 2 2, Dimension too high, 2, time: 0.11921095848083496s
9 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.1911449432373047s
9 1 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.298259973526001s
9 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.18334197998046875s
9 1 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.2800180912017822s
9 1 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.43051719665527344s
9 1 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.73130202293396s
9 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.1627180576324463s
9 1 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.2562260627746582s
9 1 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.4174051284790039s
9 1 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.7333850860595703s
9 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.324368953704834s
8 2 : 8 2, Dimension too high, 0, time: 0.03670191764831543s
8 2 : 8 1 1, Dimension too high, 0, time: 0.06546783447265625s
8 2 : 7 3, Dimension too high, 0, time: 0.03734707832336426s
8 2 : 7 2 1, Dimension too high, 1, time: 0.06392693519592285s
8 2 : 7 1 1 1, Dimension too high, 2, time: 0.10453987121582031s
8 2 : 6 4, Dimension too high, 0, time: 0.03799700736999512s
8 2 : 6 3 1, Dimension too high, 1, time: 0.06370997428894043s
8 2 : 6 2 2, Dimension too high, 1, time: 0.06302499771118164s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.10386109352111816s
