10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7126419544219971s
10 : 9 1, Dimension too high, 0, time: 0.2502470016479492s
10 : 8 2, Dimension too high, 0, time: 0.036679983139038086s
10 : 8 1 1, Dimension too high, 0, time: 0.0953061580657959s
10 : 7 3, Dimension too high, 0, time: 0.03728199005126953s
10 : 7 2 1, Dimension too high, 0, time: 0.06548380851745605s
10 : 7 1 1 1, Dimension too high, 0, time: 0.14158296585083008s
10 : 6 4, Dimension too high, 0, time: 0.0375518798828125s
10 : 6 3 1, Dimension too high, 0, time: 0.06520295143127441s
10 : 6 2 2, Dimension too high, 0, time: 0.06521081924438477s
10 : 6 2 1 1, Dimension too high, 0, time: 0.11113905906677246s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.2109849452972412s
10 : 5 5, Dimension too high, 0, time: 0.03834795951843262s
10 : 5 4 1, Dimension too high, 0, time: 0.06606698036193848s
10 : 5 3 2, Dimension too high, 0, time: 0.06592798233032227s
10 : 5 3 1 1, Dimension too high, 0, time: 0.11158013343811035s
10 : 5 2 2 1, Dimension too high, 0, time: 0.11127614974975586s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.18136310577392578s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.33639097213745117s
10 : 4 4 2, Dimension too high, 0, time: 0.06797504425048828s
10 : 4 4 1 1, Dimension too high, 0, time: 0.11160492897033691s
10 : 4 3 3, Dimension too high, 0, time: 0.06644487380981445s
10 : 4 3 2 1, Dimension too high, 0, time: 0.11067891120910645s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.18271708488464355s
10 : 4 2 2 2, Dimension too high, 0, time: 0.11131501197814941s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.18230009078979492s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.29673194885253906s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.4837000370025635s
10 : 3 3 3 1, Dimension too high, 0, time: 0.1050269603729248s
10 : 3 3 2 2, Dimension too high, 0, time: 0.10593104362487793s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.16411590576171875s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.24866914749145508s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.154494047164917s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.242034912109375s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.4029958248138428s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.7373700141906738s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.15204405784606934s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.24101710319519043s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.3950788974761963s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.6958601474761963s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.3392798900604248s
9 1 : 9 1, Dimension too high, 0, time: 0.03529500961303711s
9 1 : 8 2, Dimension too high, 0, time: 0.03446507453918457s
