10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6562528610229492s
10 : 9 1, 1, 0, time: 0.35839414596557617s
10 : 8 2, 1, 0, time: 0.040403127670288086s
10 : 8 1 1, 1, 0, time: 0.09166502952575684s
10 : 7 3, 1, 0, time: 0.03824114799499512s
10 : 7 2 1, 1, 0, time: 0.0625300407409668s
10 : 7 1 1 1, 1, 0, time: 0.12878203392028809s
10 : 6 4, 1, 0, time: 0.0393521785736084s
10 : 6 3 1, 1, 0, time: 0.06257295608520508s
10 : 6 2 2, 1, 0, time: 0.06261920928955078s
10 : 6 2 1 1, 1, 0, time: 0.0995790958404541s
10 : 6 1 1 1 1, 1, 0, time: 0.18841099739074707s
10 : 5 5, 1, 0, time: 0.03809499740600586s
10 : 5 4 1, 1, 0, time: 0.0627908706665039s
10 : 5 3 2, 1, 0, time: 0.06286191940307617s
10 : 5 3 1 1, 1, 0, time: 0.10195112228393555s
10 : 5 2 2 1, 1, 0, time: 0.10454201698303223s
10 : 5 2 1 1 1, 1, 0, time: 0.15626788139343262s
10 : 5 1 1 1 1 1, 1, 0, time: 0.2864058017730713s
10 : 4 4 2, 1, 0, time: 0.06346607208251953s
10 : 4 4 1 1, 1, 0, time: 0.10116696357727051s
10 : 4 3 3, 1, 0, time: 0.06412005424499512s
10 : 4 3 2 1, 1, 0, time: 0.0993950366973877s
10 : 4 3 1 1 1, 1, 0, time: 0.15628910064697266s
10 : 4 2 2 2, 1, 0, time: 0.10102105140686035s
10 : 4 2 2 1 1, 1, 0, time: 0.15741801261901855s
10 : 4 2 1 1 1 1, 1, 0, time: 0.2544369697570801s
10 : 4 1 1 1 1 1 1, 1, 0, time: 0.4702301025390625s
10 : 3 3 3 1, 1, 0, time: 0.09974122047424316s
10 : 3 3 2 2, 1, 0, time: 0.09874200820922852s
10 : 3 3 2 1 1, 1, 0, time: 0.15641999244689941s
10 : 3 3 1 1 1 1, 1, 0, time: 0.2391071319580078s
10 : 3 2 2 2 1, 1, 0, time: 0.15102100372314453s
10 : 3 2 2 1 1 1, 1, 0, time: 0.23517799377441406s
10 : 3 2 1 1 1 1 1, 1, 0, time: 0.4124131202697754s
10 : 3 1 1 1 1 1 1 1, 1, 0, time: 1.302839994430542s
10 : 2 2 2 2 2, 1, 0, time: 0.17130398750305176s
10 : 2 2 2 2 1 1, 1, 0, time: 0.27622389793395996s
10 : 2 2 2 1 1 1 1, 1, 0, time: 0.4907679557800293s
10 : 2 2 1 1 1 1 1 1, 1, 0, time: 1.3015449047088623s
10 : 2 1 1 1 1 1 1 1 1, 1, 0, time: 18.83950686454773s
9 1 : 9 1, 1, 0, time: 0.04565119743347168s
9 1 : 8 2, 1, 0, time: 0.03917694091796875s
9 1 : 8 1 1, 1, 1, time: 0.0707850456237793s
9 1 : 7 3, 1, 0, time: 0.04077291488647461s
9 1 : 7 2 1, 1, 1, time: 0.06691598892211914s
9 1 : 7 1 1 1, 1, 2, time: 0.10501503944396973s
9 1 : 6 4, 1, 0, time: 0.03899407386779785s
9 1 : 6 3 1, 1, 1, time: 0.06391787528991699s
9 1 : 6 2 2, 1, 1, time: 0.06480097770690918s
9 1 : 6 2 1 1, 1, 2, time: 0.10347294807434082s
9 1 : 6 1 1 1 1, 1, 3, time: 0.16554498672485352s
9 1 : 5 5, 1, 0, time: 0.03978896141052246s
9 1 : 5 4 1, 1, 1, time: 0.06589508056640625s
9 1 : 5 3 2, 1, 1, time: 0.06383204460144043s
9 1 : 5 3 1 1, 1, 2, time: 0.10027194023132324s
9 1 : 5 2 2 1, 1, 2, time: 0.10075092315673828s
9 1 : 5 2 1 1 1, 1, 3, time: 0.15699410438537598s
9 1 : 5 1 1 1 1 1, 1, 4, time: 0.2585909366607666s
9 1 : 4 4 2, 1, 1, time: 0.06516098976135254s
9 1 : 4 4 1 1, 1, 2, time: 0.10400009155273438s
9 1 : 4 3 3, 1, 1, time: 0.06377100944519043s
9 1 : 4 3 2 1, 1, 2, time: 0.10095906257629395s
9 1 : 4 3 1 1 1, 1, 3, time: 0.1543271541595459s
9 1 : 4 2 2 2, 1, 2, time: 0.09983706474304199s
9 1 : 4 2 2 1 1, 1, 3, time: 0.15132999420166016s
9 1 : 4 2 1 1 1 1, 1, 4, time: 0.23815393447875977s
9 1 : 4 1 1 1 1 1 1, 1, 5, time: 0.40992188453674316s
9 1 : 3 3 3 1, 1, 2, time: 0.10016393661499023s
9 1 : 3 3 2 2, 1, 2, time: 0.09874296188354492s
9 1 : 3 3 2 1 1, 1, 3, time: 0.15033507347106934s
9 1 : 3 3 1 1 1 1, 1, 4, time: 0.23298406600952148s
9 1 : 3 2 2 2 1, 1, 3, time: 0.1519908905029297s
9 1 : 3 2 2 1 1 1, 1, 4, time: 0.23497486114501953s
9 1 : 3 2 1 1 1 1 1, 1, 5, time: 0.41518306732177734s
9 1 : 3 1 1 1 1 1 1 1, 1, 6, time: 1.7882089614868164s
9 1 : 2 2 2 2 2, 1, 3, time: 0.15102100372314453s
9 1 : 2 2 2 2 1 1, 1, 4, time: 0.2374420166015625s
9 1 : 2 2 2 1 1 1 1, 1, 5, time: 0.41125011444091797s
9 1 : 2 2 1 1 1 1 1 1, 1, 6, time: 2.0207998752593994s
9 1 : 2 1 1 1 1 1 1 1 1, 1, 7, time: 431.8810110092163s
8 2 : 8 2, 1, 0, time: 0.039611101150512695s
8 2 : 8 1 1, 1, 0, time: 0.06305599212646484s
8 2 : 7 3, 1, 0, time: 0.038630008697509766s
8 2 : 7 2 1, 1, 1, time: 0.0632028579711914s
8 2 : 7 1 1 1, 1, 2, time: 0.10002779960632324s
8 2 : 6 4, 1, 0, time: 0.0379328727722168s
8 2 : 6 3 1, 1, 1, time: 0.06300520896911621s
8 2 : 6 2 2, x + 1, 1, time: 0.267225980758667s
8 2 : 6 2 1 1, x + 1, 2, time: 0.09840607643127441s
