10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6619541645050049s
10 : 9 1, Dimension too high, 0, time: 0.22057604789733887s
10 : 8 2, Dimension too high, 0, time: 0.03404998779296875s
10 : 8 1 1, Dimension too high, 0, time: 0.08521509170532227s
10 : 7 3, Dimension too high, 0, time: 0.032913923263549805s
10 : 7 2 1, Dimension too high, 0, time: 0.057324886322021484s
10 : 7 1 1 1, Dimension too high, 0, time: 0.12370514869689941s
10 : 6 4, Dimension too high, 0, time: 0.03309202194213867s
10 : 6 3 1, Dimension too high, 0, time: 0.05751800537109375s
10 : 6 2 2, Dimension too high, 0, time: 0.05816483497619629s
10 : 6 2 1 1, Dimension too high, 0, time: 0.09387993812561035s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.17868614196777344s
10 : 5 5, Dimension too high, 0, time: 0.03342008590698242s
10 : 5 4 1, Dimension too high, 0, time: 0.05798196792602539s
10 : 5 3 2, Dimension too high, 0, time: 0.05776715278625488s
10 : 5 3 1 1, Dimension too high, 0, time: 0.09419894218444824s
10 : 5 2 2 1, Dimension too high, 0, time: 0.09544086456298828s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.16622400283813477s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.3178260326385498s
10 : 4 4 2, Dimension too high, 0, time: 0.06513500213623047s
10 : 4 4 1 1, Dimension too high, 0, time: 0.09707903861999512s
10 : 4 3 3, Dimension too high, 0, time: 0.06444787979125977s
10 : 4 3 2 1, Dimension too high, 0, time: 0.10074782371520996s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.15633201599121094s
10 : 4 2 2 2, Dimension too high, 0, time: 0.09699797630310059s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.15099787712097168s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.24251389503479004s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.46018409729003906s
10 : 3 3 3 1, Dimension too high, 0, time: 0.11024594306945801s
10 : 3 3 2 2, Dimension too high, 0, time: 0.1080319881439209s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.15926408767700195s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.22920918464660645s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.14293384552001953s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.2242729663848877s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.3753511905670166s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.6946489810943604s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.14150094985961914s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.22597098350524902s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.38671183586120605s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.6597461700439453s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.276426076889038s
9 1 : 9 1, Dimension too high, 0, time: 0.03278708457946777s
9 1 : 8 2, Dimension too high, 0, time: 0.032351016998291016s
9 1 : 8 1 1, Dimension too high, 1, time: 0.05786395072937012s
9 1 : 7 3, Dimension too high, 0, time: 0.033503055572509766s
9 1 : 7 2 1, Dimension too high, 1, time: 0.056504011154174805s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.09389400482177734s
9 1 : 6 4, Dimension too high, 0, time: 0.03268313407897949s
9 1 : 6 3 1, Dimension too high, 1, time: 0.056120872497558594s
9 1 : 6 2 2, Dimension too high, 1, time: 0.05596494674682617s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.09132599830627441s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.14307308197021484s
9 1 : 5 5, Dimension too high, 0, time: 0.034301042556762695s
9 1 : 5 4 1, Dimension too high, 1, time: 0.05977916717529297s
9 1 : 5 3 2, Dimension too high, 1, time: 0.07067108154296875s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.10351109504699707s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.10675311088562012s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.1584169864654541s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.25391197204589844s
9 1 : 4 4 2, Dimension too high, 1, time: 0.07186603546142578s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.10354208946228027s
9 1 : 4 3 3, Dimension too high, 1, time: 0.06108212471008301s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.09929203987121582s
