10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6425328254699707s
10 : 9 1, Dimension too high, 0, time: 0.22132396697998047s
10 : 8 2, Dimension too high, 0, time: 0.034017086029052734s
10 : 8 1 1, Dimension too high, 0, time: 0.08556699752807617s
10 : 7 3, Dimension too high, 0, time: 0.03335690498352051s
10 : 7 2 1, Dimension too high, 0, time: 0.05783200263977051s
10 : 7 1 1 1, Dimension too high, 0, time: 0.12463688850402832s
10 : 6 4, Dimension too high, 0, time: 0.03356790542602539s
10 : 6 3 1, Dimension too high, 0, time: 0.058203935623168945s
10 : 6 2 2, Dimension too high, 0, time: 0.058441877365112305s
10 : 6 2 1 1, Dimension too high, 0, time: 0.09537291526794434s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.17995595932006836s
10 : 5 5, Dimension too high, 0, time: 0.033721923828125s
10 : 5 4 1, Dimension too high, 0, time: 0.058236122131347656s
10 : 5 3 2, Dimension too high, 0, time: 0.0586090087890625s
10 : 5 3 1 1, Dimension too high, 0, time: 0.09495282173156738s
10 : 5 2 2 1, Dimension too high, 0, time: 0.09537005424499512s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.15665078163146973s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.2781829833984375s
10 : 4 4 2, Dimension too high, 0, time: 0.059053897857666016s
10 : 4 4 1 1, Dimension too high, 0, time: 0.09462690353393555s
10 : 4 3 3, Dimension too high, 0, time: 0.05879497528076172s
10 : 4 3 2 1, Dimension too high, 0, time: 0.09490704536437988s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.15056991577148438s
10 : 4 2 2 2, Dimension too high, 0, time: 0.09518599510192871s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.1508030891418457s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.2437880039215088s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.43585991859436035s
10 : 3 3 3 1, Dimension too high, 0, time: 0.09419894218444824s
10 : 3 3 2 2, Dimension too high, 0, time: 0.09389400482177734s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.14972209930419922s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.22801780700683594s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.14365911483764648s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.22472214698791504s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.3747990131378174s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.69580078125s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.14214181900024414s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.2238750457763672s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.37257885932922363s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.6565530300140381s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.2612199783325195s
9 1 : 9 1, Dimension too high, 0, time: 0.032727956771850586s
9 1 : 8 2, Dimension too high, 0, time: 0.03235292434692383s
9 1 : 8 1 1, Dimension too high, 1, time: 0.05652904510498047s
9 1 : 7 3, Dimension too high, 0, time: 0.032379150390625s
9 1 : 7 2 1, Dimension too high, 1, time: 0.056303977966308594s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.09060502052307129s
9 1 : 6 4, Dimension too high, 0, time: 0.03245711326599121s
9 1 : 6 3 1, Dimension too high, 1, time: 0.05606412887573242s
9 1 : 6 2 2, Dimension too high, 1, time: 0.05617713928222656s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.09113192558288574s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.14191699028015137s
9 1 : 5 5, Dimension too high, 0, time: 0.03257298469543457s
9 1 : 5 4 1, Dimension too high, 1, time: 0.05660295486450195s
9 1 : 5 3 2, Dimension too high, 1, time: 0.05649089813232422s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.09068512916564941s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.09142398834228516s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.18964886665344238s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.2532379627227783s
9 1 : 4 4 2, Dimension too high, 1, time: 0.060235023498535156s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.09695100784301758s
9 1 : 4 3 3, Dimension too high, 1, time: 0.059478044509887695s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.09676289558410645s
9 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.15429997444152832s
9 1 : 4 2 2 2, Dimension too high, 2, time: 0.09755396842956543s
9 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.15451693534851074s
9 1 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.25218701362609863s
9 1 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.41861701011657715s
9 1 : 3 3 3 1, Dimension too high, 2, time: 0.09775590896606445s
9 1 : 3 3 2 2, Dimension too high, 2, time: 0.09690594673156738s
9 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.15360784530639648s
9 1 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.24622106552124023s
9 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.15309882164001465s
9 1 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.23881316184997559s
9 1 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3746459484100342s
9 1 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6463229656219482s
9 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.14357995986938477s
9 1 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22536921501159668s
9 1 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.37221503257751465s
9 1 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6442258358001709s
9 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.1788990497589111s
8 2 : 8 2, Dimension too high, 0, time: 0.03336811065673828s
8 2 : 8 1 1, Dimension too high, 0, time: 0.05674004554748535s
8 2 : 7 3, Dimension too high, 0, time: 0.03265690803527832s
8 2 : 7 2 1, Dimension too high, 1, time: 0.0565950870513916s
8 2 : 7 1 1 1, Dimension too high, 2, time: 0.09127593040466309s
8 2 : 6 4, Dimension too high, 0, time: 0.032774925231933594s
8 2 : 6 3 1, Dimension too high, 1, time: 0.056928157806396484s
8 2 : 6 2 2, Dimension too high, 1, time: 0.05660891532897949s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.09142112731933594s
8 2 : 6 1 1 1 1, Dimension too high, 3, time: 0.14278411865234375s
8 2 : 5 5, Dimension too high, 0, time: 0.03281092643737793s
8 2 : 5 4 1, Dimension too high, 1, time: 0.05681014060974121s
8 2 : 5 3 2, Dimension too high, 1, time: 0.0567018985748291s
8 2 : 5 3 1 1, Dimension too high, 2, time: 0.09192299842834473s
8 2 : 5 2 2 1, Dimension too high, 2, time: 0.09170198440551758s
8 2 : 5 2 1 1 1, Dimension too high, 3, time: 0.14247417449951172s
8 2 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.2246110439300537s
8 2 : 4 4 2, Dimension too high, 1, time: 0.05685901641845703s
8 2 : 4 4 1 1, Dimension too high, 2, time: 0.09153914451599121s
8 2 : 4 3 3, Dimension too high, 1, time: 0.0569307804107666s
8 2 : 4 3 2 1, Dimension too high, 2, time: 0.09155011177062988s
8 2 : 4 3 1 1 1, Dimension too high, 3, time: 0.14261102676391602s
8 2 : 4 2 2 2, Dimension too high, 2, time: 0.09153103828430176s
8 2 : 4 2 2 1 1, Dimension too high, 3, time: 0.14262700080871582s
8 2 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.22369694709777832s
8 2 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.3713819980621338s
8 2 : 3 3 3 1, Dimension too high, 2, time: 0.09185194969177246s
8 2 : 3 3 2 2, Dimension too high, 2, time: 0.0912778377532959s
8 2 : 3 3 2 1 1, Dimension too high, 3, time: 0.1426560878753662s
8 2 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.2240920066833496s
8 2 : 3 2 2 2 1, Dimension too high, 3, time: 0.14345598220825195s
8 2 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.22333407402038574s
8 2 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.36934590339660645s
8 2 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6449031829833984s
8 2 : 2 2 2 2 2, Dimension too high, 3, time: 0.14243412017822266s
8 2 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22326302528381348s
8 2 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.36852312088012695s
8 2 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6424450874328613s
8 2 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.2648060321807861s
8 1 1 : 8 1 1, Dimension too high, 0, time: 0.05948901176452637s
8 1 1 : 7 3, Dimension too high, 0, time: 0.033967018127441406s
8 1 1 : 7 2 1, Dimension too high, 0, time: 0.059487104415893555s
8 1 1 : 7 1 1 1, Dimension too high, 2, time: 0.09746193885803223s
8 1 1 : 6 4, Dimension too high, 0, time: 0.0341339111328125s
8 1 1 : 6 3 1, Dimension too high, 0, time: 0.059645891189575195s
8 1 1 : 6 2 2, Dimension too high, 0, time: 0.059545040130615234s
8 1 1 : 6 2 1 1, Dimension too high, 2, time: 0.09729385375976562s
8 1 1 : 6 1 1 1 1, Dimension too high, 4, time: 0.15417885780334473s
8 1 1 : 5 5, Dimension too high, 0, time: 0.03502011299133301s
8 1 1 : 5 4 1, Dimension too high, 0, time: 0.060156822204589844s
8 1 1 : 5 3 2, Dimension too high, 0, time: 0.05978703498840332s
8 1 1 : 5 3 1 1, Dimension too high, 2, time: 0.09712696075439453s
8 1 1 : 5 2 2 1, Dimension too high, 2, time: 0.09694314002990723s
8 1 1 : 5 2 1 1 1, Dimension too high, 4, time: 0.15358591079711914s
8 1 1 : 5 1 1 1 1 1, Dimension too high, 6, time: 0.24865198135375977s
8 1 1 : 4 4 2, Dimension too high, 0, time: 0.060524940490722656s
8 1 1 : 4 4 1 1, Dimension too high, 2, time: 0.09662485122680664s
8 1 1 : 4 3 3, Dimension too high, 0, time: 0.05977511405944824s
8 1 1 : 4 3 2 1, Dimension too high, 2, time: 0.09737801551818848s
8 1 1 : 4 3 1 1 1, Dimension too high, 4, time: 0.15423822402954102s
8 1 1 : 4 2 2 2, Dimension too high, 2, time: 0.09791302680969238s
8 1 1 : 4 2 2 1 1, Dimension too high, 4, time: 0.15311598777770996s
8 1 1 : 4 2 1 1 1 1, Dimension too high, 6, time: 0.245650053024292s
8 1 1 : 4 1 1 1 1 1 1, Dimension too high, 8, time: 0.3902590274810791s
8 1 1 : 3 3 3 1, Dimension too high, 2, time: 0.0968008041381836s
8 1 1 : 3 3 2 2, Dimension too high, 2, time: 0.09648513793945312s
8 1 1 : 3 3 2 1 1, Dimension too high, 4, time: 0.1502840518951416s
8 1 1 : 3 3 1 1 1 1, Dimension too high, 6, time: 0.2269761562347412s
8 1 1 : 3 2 2 2 1, Dimension too high, 4, time: 0.1443619728088379s
8 1 1 : 3 2 2 1 1 1, Dimension too high, 6, time: 0.22511887550354004s
8 1 1 : 3 2 1 1 1 1 1, Dimension too high, 8, time: 0.3683650493621826s
8 1 1 : 3 1 1 1 1 1 1 1, Dimension too high, 10, time: 0.6342520713806152s
8 1 1 : 2 2 2 2 2, Dimension too high, 4, time: 0.1433398723602295s
8 1 1 : 2 2 2 2 1 1, Dimension too high, 6, time: 0.2241048812866211s
8 1 1 : 2 2 2 1 1 1 1, Dimension too high, 8, time: 0.368710994720459s
8 1 1 : 2 2 1 1 1 1 1 1, Dimension too high, 10, time: 0.6344170570373535s
8 1 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 12, time: 1.1518170833587646s
7 3 : 7 3, Dimension too high, 0, time: 0.032978057861328125s
7 3 : 7 2 1, Dimension too high, 0, time: 0.05697202682495117s
7 3 : 7 1 1 1, Dimension too high, 0, time: 0.09131789207458496s
7 3 : 6 4, Dimension too high, 0, time: 0.032401084899902344s
7 3 : 6 3 1, Dimension too high, 1, time: 0.0563509464263916s
7 3 : 6 2 2, Dimension too high, 1, time: 0.05648612976074219s
7 3 : 6 2 1 1, Dimension too high, 2, time: 0.09109187126159668s
7 3 : 6 1 1 1 1, Dimension too high, 3, time: 0.1424849033355713s
7 3 : 5 5, Dimension too high, 0, time: 0.03305196762084961s
7 3 : 5 4 1, Dimension too high, 1, time: 0.05694699287414551s
7 3 : 5 3 2, Dimension too high, 1, time: 0.05671095848083496s
7 3 : 5 3 1 1, Dimension too high, 2, time: 0.09110713005065918s
7 3 : 5 2 2 1, Dimension too high, 2, time: 0.0914762020111084s
7 3 : 5 2 1 1 1, Dimension too high, 3, time: 0.14237713813781738s
7 3 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.2239530086517334s
7 3 : 4 4 2, Dimension too high, 1, time: 0.056906938552856445s
7 3 : 4 4 1 1, Dimension too high, 2, time: 0.0915520191192627s
7 3 : 4 3 3, Dimension too high, 1, time: 0.05649399757385254s
7 3 : 4 3 2 1, Dimension too high, 2, time: 0.0913689136505127s
7 3 : 4 3 1 1 1, Dimension too high, 3, time: 0.14205002784729004s
7 3 : 4 2 2 2, Dimension too high, 2, time: 0.09159398078918457s
7 3 : 4 2 2 1 1, Dimension too high, 3, time: 0.14263606071472168s
7 3 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.22359395027160645s
7 3 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.3700258731842041s
7 3 : 3 3 3 1, Dimension too high, 2, time: 0.09155106544494629s
7 3 : 3 3 2 2, Dimension too high, 2, time: 0.09102797508239746s
7 3 : 3 3 2 1 1, Dimension too high, 3, time: 0.14184308052062988s
7 3 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.2229299545288086s
7 3 : 3 2 2 2 1, Dimension too high, 3, time: 0.14306402206420898s
7 3 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.22387099266052246s
7 3 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.37000298500061035s
7 3 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6441519260406494s
7 3 : 2 2 2 2 2, Dimension too high, 3, time: 0.14292001724243164s
7 3 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22499418258666992s
7 3 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.3718380928039551s
7 3 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.648461103439331s
7 3 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.336305856704712s
7 2 1 : 7 2 1, Dimension too high, 0, time: 0.0594182014465332s
7 2 1 : 7 1 1 1, Dimension too high, 1, time: 0.09719705581665039s
7 2 1 : 6 4, Dimension too high, 0, time: 0.034297943115234375s
7 2 1 : 6 3 1, Dimension too high, 0, time: 0.05984616279602051s
7 2 1 : 6 2 2, Dimension too high, 1, time: 0.059771060943603516s
7 2 1 : 6 2 1 1, Dimension too high, 3, time: 0.09735703468322754s
7 2 1 : 6 1 1 1 1, Dimension too high, 5, time: 0.15408706665039062s
7 2 1 : 5 5, Dimension too high, 0, time: 0.03457188606262207s
7 2 1 : 5 4 1, Dimension too high, 0, time: 0.05962991714477539s
7 2 1 : 5 3 2, Dimension too high, 1, time: 0.05967283248901367s
7 2 1 : 5 3 1 1, Dimension too high, 3, time: 0.0967710018157959s
7 2 1 : 5 2 2 1, Dimension too high, 3, time: 0.0979149341583252s
7 2 1 : 5 2 1 1 1, Dimension too high, 5, time: 0.1539139747619629s
7 2 1 : 5 1 1 1 1 1, Dimension too high, 7, time: 0.24894118309020996s
7 2 1 : 4 4 2, Dimension too high, 1, time: 0.06080007553100586s
7 2 1 : 4 4 1 1, Dimension too high, 3, time: 0.09774184226989746s
7 2 1 : 4 3 3, Dimension too high, 1, time: 0.05991005897521973s
7 2 1 : 4 3 2 1, Dimension too high, 3, time: 0.09676504135131836s
7 2 1 : 4 3 1 1 1, Dimension too high, 5, time: 0.15368103981018066s
7 2 1 : 4 2 2 2, Dimension too high, 3, time: 0.09789013862609863s
7 2 1 : 4 2 2 1 1, Dimension too high, 5, time: 0.1532430648803711s
7 2 1 : 4 2 1 1 1 1, Dimension too high, 7, time: 0.24516582489013672s
7 2 1 : 4 1 1 1 1 1 1, Dimension too high, 9, time: 0.39427995681762695s
7 2 1 : 3 3 3 1, Dimension too high, 3, time: 0.09633803367614746s
7 2 1 : 3 3 2 2, Dimension too high, 3, time: 0.09607386589050293s
7 2 1 : 3 3 2 1 1, Dimension too high, 5, time: 0.14995408058166504s
7 2 1 : 3 3 1 1 1 1, Dimension too high, 7, time: 0.22819280624389648s
7 2 1 : 3 2 2 2 1, Dimension too high, 5, time: 0.14512014389038086s
7 2 1 : 3 2 2 1 1 1, Dimension too high, 7, time: 0.22503209114074707s
7 2 1 : 3 2 1 1 1 1 1, Dimension too high, 9, time: 0.3695950508117676s
7 2 1 : 3 1 1 1 1 1 1 1, Dimension too high, 11, time: 0.6417429447174072s
7 2 1 : 2 2 2 2 2, Dimension too high, 5, time: 0.1432948112487793s
7 2 1 : 2 2 2 2 1 1, Dimension too high, 7, time: 0.2238779067993164s
7 2 1 : 2 2 2 1 1 1 1, Dimension too high, 9, time: 0.3684351444244385s
7 2 1 : 2 2 1 1 1 1 1 1, Dimension too high, 11, time: 0.6351480484008789s
7 2 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 13, time: 1.1694939136505127s
7 1 1 1 : 7 1 1 1, Dimension too high, 0, time: 0.09164905548095703s
7 1 1 1 : 6 4, Dimension too high, 0, time: 0.03283405303955078s
