4 : 4, Unable to create polyhedron or calculate h*, NULL, time: 0.0009150505065917969s
4 : 3 1, 1, 0, time: 0.05568099021911621s
4 : 2 2, 1, 0, time: 0.04804110527038574s
4 : 2 1 1, 1, 0, time: 0.08029007911682129s
4 : 1 1 1 1, 1, 0, time: 0.1659409999847412s
3 1 : 3 1, 1, 0, time: 0.04806709289550781s
3 1 : 2 2, 1, 0, time: 0.04806709289550781s
3 1 : 2 1 1, 1, 1, time: 0.08170008659362793s
3 1 : 1 1 1 1, 1, 2, time: 0.12847900390625s
2 2 : 2 2, 1, 0, time: 0.04944896697998047s
2 2 : 2 1 1, 1, 0, time: 0.08085823059082031s
2 2 : 1 1 1 1, 1, 1, time: 0.12744498252868652s
2 1 1 : 2 1 1, 1, 0, time: 0.08088088035583496s
2 1 1 : 1 1 1 1, 1, 2, time: 0.12759709358215332s
1 1 1 1 : 1 1 1 1, 1, 0, time: 0.12776803970336914s
Total time (seconds): 1.2566630840301514
