10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6445879936218262s
10 : 9 1, Dimension too high, 0, time: 0.24248600006103516s
10 : 8 2, Dimension too high, 0, time: 0.033483028411865234s
10 : 8 1 1, Dimension too high, 0, time: 0.08500313758850098s
10 : 7 3, Dimension too high, 0, time: 0.033154964447021484s
10 : 7 2 1, Dimension too high, 0, time: 0.057418107986450195s
10 : 7 1 1 1, Dimension too high, 0, time: 0.12378787994384766s
10 : 6 4, Dimension too high, 0, time: 0.032839059829711914s
10 : 6 3 1, Dimension too high, 0, time: 0.05736899375915527s
10 : 6 2 2, Dimension too high, 0, time: 0.05733609199523926s
10 : 6 2 1 1, Dimension too high, 0, time: 0.09340095520019531s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.17965006828308105s
10 : 5 5, Dimension too high, 0, time: 0.03514695167541504s
10 : 5 4 1, Dimension too high, 0, time: 0.05879998207092285s
10 : 5 3 2, Dimension too high, 0, time: 0.05828285217285156s
10 : 5 3 1 1, Dimension too high, 0, time: 0.09486103057861328s
10 : 5 2 2 1, Dimension too high, 0, time: 0.09438610076904297s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.1558530330657959s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.2746241092681885s
10 : 4 4 2, Dimension too high, 0, time: 0.05851411819458008s
10 : 4 4 1 1, Dimension too high, 0, time: 0.0938880443572998s
10 : 4 3 3, Dimension too high, 0, time: 0.05808901786804199s
10 : 4 3 2 1, Dimension too high, 0, time: 0.09420013427734375s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.14934206008911133s
10 : 4 2 2 2, Dimension too high, 0, time: 0.09549403190612793s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.15038609504699707s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.2419140338897705s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.4349348545074463s
10 : 3 3 3 1, Dimension too high, 0, time: 0.09389710426330566s
