10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.7259609699249268s
10 : 9 1, Dimension too high, 0, time: 0.24099397659301758s
10 : 8 2, Dimension too high, 0, time: 0.03334999084472656s
10 : 8 1 1, Dimension too high, 0, time: 0.08495306968688965s
10 : 7 3, Dimension too high, 0, time: 0.0344700813293457s
10 : 7 2 1, Dimension too high, 0, time: 0.06070089340209961s
10 : 7 1 1 1, Dimension too high, 0, time: 0.13528895378112793s
10 : 6 4, Dimension too high, 0, time: 0.03652787208557129s
10 : 6 3 1, Dimension too high, 0, time: 0.06200599670410156s
10 : 6 2 2, Dimension too high, 0, time: 0.058493852615356445s
10 : 6 2 1 1, Dimension too high, 0, time: 0.09425091743469238s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.1818830966949463s
10 : 5 5, Dimension too high, 0, time: 0.036316871643066406s
10 : 5 4 1, Dimension too high, 0, time: 0.059046030044555664s
10 : 5 3 2, Dimension too high, 0, time: 0.059072017669677734s
10 : 5 3 1 1, Dimension too high, 0, time: 0.1042032241821289s
10 : 5 2 2 1, Dimension too high, 0, time: 0.10555219650268555s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.1656639575958252s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.32888102531433105s
10 : 4 4 2, Dimension too high, 0, time: 0.07047581672668457s
10 : 4 4 1 1, Dimension too high, 0, time: 0.11638188362121582s
10 : 4 3 3, Dimension too high, 0, time: 0.06542301177978516s
10 : 4 3 2 1, Dimension too high, 0, time: 0.11010003089904785s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.1712958812713623s
10 : 4 2 2 2, Dimension too high, 0, time: 0.10447907447814941s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.1753230094909668s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.26915597915649414s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.4721858501434326s
10 : 3 3 3 1, Dimension too high, 0, time: 0.1129298210144043s
10 : 3 3 2 2, Dimension too high, 0, time: 0.12142205238342285s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.18735003471374512s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.29935503005981445s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.1691749095916748s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.25537586212158203s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.4328939914703369s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.7610869407653809s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.16080284118652344s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.23675298690795898s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.37866902351379395s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.6626291275024414s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.2821240425109863s
9 1 : 9 1, Dimension too high, 0, time: 0.03239297866821289s
9 1 : 8 2, Dimension too high, 0, time: 0.03219294548034668s
9 1 : 8 1 1, Dimension too high, 1, time: 0.05795598030090332s
9 1 : 7 3, Dimension too high, 0, time: 0.03488421440124512s
9 1 : 7 2 1, Dimension too high, 1, time: 0.05982184410095215s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.09800910949707031s
9 1 : 6 4, Dimension too high, 0, time: 0.03478193283081055s
9 1 : 6 3 1, Dimension too high, 1, time: 0.05846405029296875s
9 1 : 6 2 2, Dimension too high, 1, time: 0.05871319770812988s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.09372782707214355s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.14924192428588867s
9 1 : 5 5, Dimension too high, 0, time: 0.03387713432312012s
9 1 : 5 4 1, Dimension too high, 1, time: 0.05935382843017578s
9 1 : 5 3 2, Dimension too high, 1, time: 0.06549692153930664s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.09723806381225586s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.10275506973266602s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.15543484687805176s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.25028514862060547s
9 1 : 4 4 2, Dimension too high, 1, time: 0.0672140121459961s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.10858011245727539s
9 1 : 4 3 3, Dimension too high, 1, time: 0.06714916229248047s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.10443997383117676s
9 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.16228199005126953s
9 1 : 4 2 2 2, Dimension too high, 2, time: 0.10071110725402832s
9 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.16319799423217773s
9 1 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.2895090579986572s
9 1 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.496535062789917s
9 1 : 3 3 3 1, Dimension too high, 2, time: 0.10991597175598145s
9 1 : 3 3 2 2, Dimension too high, 2, time: 0.09741497039794922s
9 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.16788196563720703s
9 1 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.25565600395202637s
9 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.16614794731140137s
9 1 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.24802899360656738s
9 1 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.4242379665374756s
9 1 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.661902904510498s
9 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.16869497299194336s
9 1 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22660398483276367s
9 1 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.3788180351257324s
9 1 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6491668224334717s
9 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.2092440128326416s
8 2 : 8 2, Dimension too high, 0, time: 0.03563404083251953s
8 2 : 8 1 1, Dimension too high, 0, time: 0.06087017059326172s
8 2 : 7 3, Dimension too high, 0, time: 0.03524589538574219s
8 2 : 7 2 1, Dimension too high, 1, time: 0.0613400936126709s
8 2 : 7 1 1 1, Dimension too high, 2, time: 0.0986030101776123s
8 2 : 6 4, Dimension too high, 0, time: 0.035012006759643555s
8 2 : 6 3 1, Dimension too high, 1, time: 0.060176849365234375s
8 2 : 6 2 2, Dimension too high, 1, time: 0.06307196617126465s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.09253287315368652s
8 2 : 6 1 1 1 1, Dimension too high, 3, time: 0.1463620662689209s
8 2 : 5 5, Dimension too high, 0, time: 0.033248186111450195s
8 2 : 5 4 1, Dimension too high, 1, time: 0.056826114654541016s
8 2 : 5 3 2, Dimension too high, 1, time: 0.057585954666137695s
8 2 : 5 3 1 1, Dimension too high, 2, time: 0.09186387062072754s
8 2 : 5 2 2 1, Dimension too high, 2, time: 0.09386110305786133s
8 2 : 5 2 1 1 1, Dimension too high, 3, time: 0.14685988426208496s
8 2 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.22600698471069336s
8 2 : 4 4 2, Dimension too high, 1, time: 0.05718803405761719s
8 2 : 4 4 1 1, Dimension too high, 2, time: 0.09470891952514648s
8 2 : 4 3 3, Dimension too high, 1, time: 0.056880950927734375s
